K,D,maskSeed,chainSeed,inforate
10.0,5.0,101.0,103.0,-3.5906297863058647
10.0,5.0,101.0,104.0,-3.5881255257805327
10.0,5.0,102.0,101.0,-3.630585436967497
10.0,5.0,102.0,102.0,-3.6278082337938784
10.0,5.0,102.0,103.0,-3.628143975534989
10.0,5.0,102.0,104.0,-3.6256792658515398
10.0,5.0,103.0,101.0,-3.6101121524656454
10.0,5.0,103.0,102.0,-3.6214646137246653
10.0,5.0,103.0,103.0,-3.614887055376877
10.0,5.0,103.0,104.0,-3.606984598638104
10.0,5.0,104.0,101.0,-3.600643217882539
10.0,5.0,104.0,102.0,-3.6053245388816046
10.0,5.0,104.0,103.0,-3.6058469179416512
10.0,5.0,104.0,104.0,-3.5994128446507925
10.0,5.0,105.0,101.0,-3.5622019627717094
10.0,5.0,105.0,102.0,-3.566502427881155
10.0,5.0,105.0,103.0,-3.5604083322504985
10.0,5.0,105.0,104.0,-3.560975261048851
15.0,1.0,101.0,101.0,-3.6533170870772427
15.0,1.0,101.0,102.0,-3.6532611222519873
15.0,1.0,101.0,103.0,-3.6531369637955815
15.0,1.0,101.0,104.0,-3.6528307564129863
15.0,1.0,102.0,101.0,-3.6778204534873966
15.0,1.0,102.0,102.0,-3.677783677453729
15.0,1.0,102.0,103.0,-3.6777558088546303
15.0,1.0,102.0,104.0,-3.677877309618373
15.0,1.0,103.0,101.0,-3.6587623324374707
15.0,1.0,103.0,102.0,-3.658974075352393
15.0,1.0,103.0,103.0,-3.658808794089056
15.0,1.0,103.0,104.0,-3.6587888634886516
15.0,1.0,104.0,101.0,-3.6594715230216988
15.0,1.0,104.0,102.0,-3.6593340733552817
15.0,1.0,104.0,103.0,-3.6594506820480253
15.0,1.0,104.0,104.0,-3.6591528944262137
15.0,1.0,105.0,101.0,-3.639561976377713
15.0,1.0,105.0,102.0,-3.639297594276383
15.0,1.0,105.0,103.0,-3.6390138009295416
15.0,1.0,105.0,104.0,-3.639225661571719
15.0,2.0,101.0,101.0,-3.585842953434071
15.0,2.0,101.0,102.0,-3.5854041887752013
15.0,2.0,101.0,103.0,-3.5855539906071443
15.0,2.0,101.0,104.0,-3.5858067374319993
15.0,2.0,102.0,101.0,-3.616566254719339
15.0,2.0,102.0,102.0,-3.6161632492017417
15.0,2.0,102.0,103.0,-3.615802893626367
15.0,2.0,102.0,104.0,-3.6165994154355174
15.0,2.0,103.0,101.0,-3.5934286460102123
15.0,2.0,103.0,102.0,-3.594634443698013
15.0,2.0,103.0,103.0,-3.600820526140708
15.0,2.0,103.0,104.0,-3.5930299408408968
15.0,2.0,104.0,101.0,-3.5936029976265678
15.0,2.0,104.0,102.0,-3.5934371951191153
15.0,2.0,104.0,103.0,-3.5941472411936704
15.0,2.0,104.0,104.0,-3.5933495790441086
15.0,2.0,105.0,101.0,-3.5663035561064467
15.0,2.0,105.0,102.0,-3.566426553732217
15.0,2.0,105.0,103.0,-3.566533519467595
15.0,2.0,105.0,104.0,-3.5666818331857226
15.0,3.0,101.0,101.0,-3.572617799488874
15.0,3.0,101.0,102.0,-3.572476167084819
15.0,3.0,101.0,103.0,-3.572148168868243
15.0,3.0,101.0,104.0,-3.5730000125389725
15.0,3.0,102.0,101.0,-3.607339076072409
15.0,3.0,102.0,102.0,-3.6070239883187427
15.0,3.0,102.0,103.0,-3.607242465521987
15.0,3.0,102.0,104.0,-3.6071078120600513
15.0,3.0,103.0,101.0,-3.584008652603838
15.0,3.0,103.0,102.0,-3.5815086716693747
15.0,3.0,103.0,103.0,-3.5900565288048365
15.0,3.0,103.0,104.0,-3.584786118916291
15.0,3.0,104.0,101.0,-3.5826294922606867
15.0,3.0,104.0,102.0,-3.582655095957915
15.0,3.0,104.0,103.0,-3.583579222929978
15.0,3.0,104.0,104.0,-3.583487854676253
15.0,3.0,105.0,101.0,-3.550767431520092
15.0,3.0,105.0,102.0,-3.5505492968725534
15.0,3.0,105.0,103.0,-3.5509395783107247
15.0,3.0,105.0,104.0,-3.5512282931213996
15.0,4.0,101.0,101.0,-3.5744891080931973
15.0,4.0,101.0,102.0,-3.575822652145148
15.0,4.0,101.0,103.0,-3.575569180886228
15.0,4.0,101.0,104.0,-3.5752902034333993
15.0,4.0,102.0,101.0,-3.6132091863180937
15.0,4.0,102.0,102.0,-3.613007136997075
15.0,4.0,102.0,103.0,-3.6127882537961735
15.0,4.0,102.0,104.0,-3.6124191335225957
15.0,4.0,103.0,101.0,-3.6079854777514817
15.0,4.0,103.0,102.0,-3.591984217789976
15.0,4.0,103.0,103.0,-3.6027383997182842
15.0,4.0,103.0,104.0,-3.611488010460158
15.0,4.0,104.0,101.0,-3.5879049109025947
