originnum,destnum,origin,destination,cluster,originlon,originlat,destlon,destlat
25,24,DEN,DCA,4,-104.672996521,39.861698150635,-77.037697,38.8521
25,26,DEN,DFW,4,-104.672996521,39.861698150635,-97.038002,32.896801
25,27,DEN,DSM,4,-104.672996521,39.861698150635,-93.663101,41.534
25,28,DEN,DTW,2,-104.672996521,39.861698150635,-83.353786,42.21377
25,29,DEN,ELP,4,-104.672996521,39.861698150635,-106.377998,31.807199
25,31,DEN,FAR,4,-104.672996521,39.861698150635,-96.81580352783203,46.92070007324219
25,32,DEN,FAT,2,-104.672996521,39.861698150635,-119.718002,36.776199
25,33,DEN,FLL,4,-104.672996521,39.861698150635,-80.152702,26.072599
25,34,DEN,FSD,4,-104.672996521,39.861698150635,-96.741152,43.585463
25,35,DEN,GEG,2,-104.672996521,39.861698150635,-117.533997,47.6199
25,36,DEN,GRB,2,-104.672996521,39.861698150635,-88.130805,44.483459
25,37,DEN,GRR,4,-104.672996521,39.861698150635,-85.52279663,42.88079834
25,38,DEN,GSP,4,-104.672996521,39.861698150635,-82.218903,34.895699
25,39,DEN,HRL,2,-104.672996521,39.861698150635,-97.65440368652344,26.228500366210938
25,42,DEN,IAH,4,-104.672996521,39.861698150635,-95.34140014648438,29.984399795532227
25,43,DEN,ICT,4,-104.672996521,39.861698150635,-97.433098,37.649899
25,44,DEN,IND,4,-104.672996521,39.861698150635,-86.294403,39.7173
25,47,DEN,LAS,4,-104.672996521,39.861698150635,-115.151817,36.083361
25,48,DEN,LAX,4,-104.672996521,39.861698150635,-118.407997,33.942501
25,50,DEN,LIT,4,-104.672996521,39.861698150635,-92.223728,34.729582
25,51,DEN,MCI,4,-104.672996521,39.861698150635,-94.713898,39.2976
25,52,DEN,MCO,4,-104.672996521,39.861698150635,-81.30899810791016,28.429399490356445
25,54,DEN,MEM,4,-104.672996521,39.861698150635,-89.9767,35.0424
25,55,DEN,MIA,4,-104.672996521,39.861698150635,-80.29060363769531,25.79319953918457
25,56,DEN,MKE,4,-104.672996521,39.861698150635,-87.896599,42.947201
25,57,DEN,MSN,4,-104.672996521,39.861698150635,-89.337502,43.1399
25,58,DEN,MSO,2,-104.672996521,39.861698150635,-114.0910034,46.91630173
25,59,DEN,MSP,4,-104.672996521,39.861698150635,-93.221741,44.880081
25,60,DEN,MSY,2,-104.672996521,39.861698150635,-90.258003,29.993401
25,61,DEN,MYR,4,-104.672996521,39.861698150635,-78.928299,33.679699
25,62,DEN,OKC,4,-104.672996521,39.861698150635,-97.598248,35.393388
25,63,DEN,OMA,4,-104.672996521,39.861698150635,-95.894096,41.3032
25,64,DEN,ONT,3,-104.672996521,39.861698150635,-117.600998,34.056
25,65,DEN,ORD,4,-104.672996521,39.861698150635,-87.9048,41.9786
25,66,DEN,ORF,4,-104.672996521,39.861698150635,-76.201,36.895341
25,68,DEN,PDX,2,-104.672996521,39.861698150635,-122.598,45.588699
25,69,DEN,PHL,4,-104.672996521,39.861698150635,-75.241096,39.871899
25,70,DEN,PHX,4,-104.672996521,39.861698150635,-112.005905,33.435302
25,71,DEN,PIT,4,-104.672996521,39.861698150635,-80.232903,40.491501
25,72,DEN,PNS,4,-104.672996521,39.861698150635,-87.1866,30.4734
25,73,DEN,PSP,2,-104.672996521,39.861698150635,-116.507004,33.8297
25,76,DEN,RDU,4,-104.672996521,39.861698150635,-78.787498,35.877602
25,77,DEN,RNO,3,-104.672996521,39.861698150635,-119.767998,39.4991
25,78,DEN,RSW,4,-104.672996521,39.861698150635,-81.75520324707031,26.53619956970215
25,79,DEN,SAN,4,-104.672996521,39.861698150635,-117.190002441,32.7336006165
25,80,DEN,SAT,4,-104.672996521,39.861698150635,-98.469803,29.533701
25,82,DEN,SDF,2,-104.672996521,39.861698150635,-85.736,38.1744
25,83,DEN,SEA,2,-104.672996521,39.861698150635,-122.310276,47.447943
25,84,DEN,SFO,4,-104.672996521,39.861698150635,-122.374821,37.619806
25,85,DEN,SJC,3,-104.672996521,39.861698150635,-121.929188,37.362452
25,87,DEN,SLC,2,-104.672996521,39.861698150635,-111.979866,40.78886
25,88,DEN,SMF,2,-104.672996521,39.861698150635,-121.591003,38.6954
25,89,DEN,SNA,3,-104.672996521,39.861698150635,-117.867996,33.675701
25,91,DEN,STL,4,-104.672996521,39.861698150635,-90.370003,38.748697
25,92,DEN,SYR,4,-104.672996521,39.861698150635,-76.1063003540039,43.11119842529297
25,93,DEN,TPA,4,-104.672996521,39.861698150635,-82.533203,27.9755
25,95,DEN,TUL,2,-104.672996521,39.861698150635,-95.88809967041016,36.19839859008789
25,96,DEN,TUS,3,-104.672996521,39.861698150635,-110.938053,32.115004
25,97,DEN,TYR,2,-104.672996521,39.861698150635,-95.40239715576172,32.35409927368164
25,98,DEN,TYS,4,-104.672996521,39.861698150635,-83.994003,35.811001
25,99,DEN,XNA,4,-104.672996521,39.861698150635,-94.306801,36.281898
26,25,DFW,DEN,4,-97.038002,32.896801,-104.672996521,39.861698150635
26,47,DFW,LAS,2,-97.038002,32.896801,-115.151817,36.083361
26,52,DFW,MCO,4,-97.038002,32.896801,-81.30899810791016,28.429399490356445
26,69,DFW,PHL,4,-97.038002,32.896801,-75.241096,39.871899
26,97,DFW,TYR,4,-97.038002,32.896801,-95.40239715576172,32.35409927368164
27,25,DSM,DEN,4,-93.663101,41.534,-104.672996521,39.861698150635
27,52,DSM,MCO,4,-93.663101,41.534,-81.30899810791016,28.429399490356445
27,70,DSM,PHX,3,-93.663101,41.534,-112.005905,33.435302
28,25,DTW,DEN,2,-83.353786,42.21377,-104.672996521,39.861698150635
28,47,DTW,LAS,3,-83.353786,42.21377,-115.151817,36.083361
28,52,DTW,MCO,4,-83.353786,42.21377,-81.30899810791016,28.429399490356445
28,55,DTW,MIA,4,-83.353786,42.21377,-80.29060363769531,25.79319953918457
28,70,DTW,PHX,3,-83.353786,42.21377,-112.005905,33.435302
28,78,DTW,RSW,4,-83.353786,42.21377,-81.75520324707031,26.53619956970215
29,25,ELP,DEN,4,-106.377998,31.807199,-104.672996521,39.861698150635
30,3,EWR,ATL,3,-74.168701,40.692501,-84.428101,33.6367
30,47,EWR,LAS,3,-74.168701,40.692501,-115.151817,36.083361
30,52,EWR,MCO,2,-74.168701,40.692501,-81.30899810791016,28.429399490356445
30,55,EWR,MIA,2,-74.168701,40.692501,-80.29060363769531,25.79319953918457
30,67,EWR,PBI,3,-74.168701,40.692501,-80.095596,26.683201
30,70,EWR,PHX,1,-74.168701,40.692501,-112.005905,33.435302
30,86,EWR,SJU,1,-74.168701,40.692501,-66.001801,18.4394
30,93,EWR,TPA,2,-74.168701,40.692501,-82.533203,27.9755
31,25,FAR,DEN,4,-96.81580352783203,46.92070007324219,-104.672996521,39.861698150635
31,70,FAR,PHX,2,-96.81580352783203,46.92070007324219,-112.005905,33.435302
32,25,FAT,DEN,4,-119.718002,36.776199,-104.672996521,39.861698150635
33,19,FLL,CLE,4,-80.152702,26.072599,-81.8498,41.411701
33,23,FLL,CVG,2,-80.152702,26.072599,-84.667801,39.048801
33,25,FLL,DEN,1,-80.152702,26.072599,-104.672996521,39.861698150635
33,45,FLL,ISP,4,-80.152702,26.072599,-73.10019684,40.79520035
33,94,FLL,TTN,4,-80.152702,26.072599,-74.813499,40.276699
34,25,FSD,DEN,4,-96.741152,43.585463,-104.672996521,39.861698150635
35,25,GEG,DEN,2,-117.533997,47.6199,-104.672996521,39.861698150635
35,47,GEG,LAS,2,-117.533997,47.6199,-115.151817,36.083361
35,83,GEG,SEA,4,-117.533997,47.6199,-122.310276,47.447943
36,25,GRB,DEN,2,-88.130805,44.483459,-104.672996521,39.861698150635
36,52,GRB,MCO,2,-88.130805,44.483459,-81.30899810791016,28.429399490356445
37,25,GRR,DEN,4,-85.52279663,42.88079834,-104.672996521,39.861698150635
37,52,GRR,MCO,4,-85.52279663,42.88079834,-81.30899810791016,28.429399490356445
37,70,GRR,PHX,3,-85.52279663,42.88079834,-112.005905,33.435302
37,78,GRR,RSW,4,-85.52279663,42.88079834,-81.75520324707031,26.53619956970215
37,93,GRR,TPA,4,-85.52279663,42.88079834,-82.533203,27.9755
38,25,GSP,DEN,1,-82.218903,34.895699,-104.672996521,39.861698150635
38,52,GSP,MCO,4,-82.218903,34.895699,-81.30899810791016,28.429399490356445
39,25,HRL,DEN,2,-97.65440368652344,26.228500366210938,-104.672996521,39.861698150635
40,52,HSV,MCO,4,-86.775101,34.637199,-81.30899810791016,28.429399490356445
41,4,IAD,AUS,1,-77.455803,38.9445,-97.662015,30.197535
41,52,IAD,MCO,2,-77.455803,38.9445,-81.30899810791016,28.429399490356445
42,25,IAH,DEN,4,-95.34140014648438,29.984399795532227,-104.672996521,39.861698150635
42,39,IAH,HRL,4,-95.34140014648438,29.984399795532227,-97.65440368652344,26.228500366210938
42,47,IAH,LAS,2,-95.34140014648438,29.984399795532227,-115.151817,36.083361
42,52,IAH,MCO,4,-95.34140014648438,29.984399795532227,-81.30899810791016,28.429399490356445
43,25,ICT,DEN,4,-97.433098,37.649899,-104.672996521,39.861698150635
44,25,IND,DEN,2,-86.294403,39.7173,-104.672996521,39.861698150635
44,47,IND,LAS,3,-86.294403,39.7173,-115.151817,36.083361
44,52,IND,MCO,4,-86.294403,39.7173,-81.30899810791016,28.429399490356445
44,78,IND,RSW,4,-86.294403,39.7173,-81.75520324707031,26.53619956970215
45,3,ISP,ATL,1,-73.10019684,40.79520035,-84.428101,33.6367
45,33,ISP,FLL,3,-73.10019684,40.79520035,-80.152702,26.072599
45,52,ISP,MCO,2,-73.10019684,40.79520035,-81.30899810791016,28.429399490356445
45,61,ISP,MYR,2,-73.10019684,40.79520035,-78.928299,33.679699
45,67,ISP,PBI,3,-73.10019684,40.79520035,-80.095596,26.683201
45,78,ISP,RSW,1,-73.10019684,40.79520035,-81.75520324707031,26.53619956970215
45,93,ISP,TPA,3,-73.10019684,40.79520035,-82.533203,27.9755
46,69,JAX,PHL,4,-81.687813,30.492469,-75.241096,39.871899
47,3,LAS,ATL,4,-115.151817,36.083361,-84.428101,33.6367
47,4,LAS,AUS,4,-115.151817,36.083361,-97.662015,30.197535
47,11,LAS,BNA,4,-115.151817,36.083361,-86.6782,36.1245
47,19,LAS,CLE,4,-115.151817,36.083361,-81.8498,41.411701
47,20,LAS,CLT,4,-115.151817,36.083361,-80.94309997558594,35.2140007019043
47,22,LAS,COS,4,-115.151817,36.083361,-104.700996,38.805801
47,23,LAS,CVG,4,-115.151817,36.083361,-84.667801,39.048801
47,25,LAS,DEN,4,-115.151817,36.083361,-104.672996521,39.861698150635
47,26,LAS,DFW,4,-115.151817,36.083361,-97.038002,32.896801
47,28,LAS,DTW,4,-115.151817,36.083361,-83.353786,42.21377
47,30,LAS,EWR,4,-115.151817,36.083361,-74.168701,40.692501
47,35,LAS,GEG,1,-115.151817,36.083361,-117.533997,47.6199
47,42,LAS,IAH,4,-115.151817,36.083361,-95.34140014648438,29.984399795532227
47,44,LAS,IND,4,-115.151817,36.083361,-86.294403,39.7173
47,48,LAS,LAX,4,-115.151817,36.083361,-118.407997,33.942501
47,52,LAS,MCO,4,-115.151817,36.083361,-81.30899810791016,28.429399490356445
47,55,LAS,MIA,4,-115.151817,36.083361,-80.29060363769531,25.79319953918457
47,56,LAS,MKE,4,-115.151817,36.083361,-87.896599,42.947201
47,57,LAS,MSN,4,-115.151817,36.083361,-89.337502,43.1399
47,63,LAS,OMA,2,-115.151817,36.083361,-95.894096,41.3032
47,65,LAS,ORD,4,-115.151817,36.083361,-87.9048,41.9786
47,66,LAS,ORF,4,-115.151817,36.083361,-76.201,36.895341
47,68,LAS,PDX,3,-115.151817,36.083361,-122.598,45.588699
47,69,LAS,PHL,4,-115.151817,36.083361,-75.241096,39.871899
47,70,LAS,PHX,4,-115.151817,36.083361,-112.005905,33.435302
47,76,LAS,RDU,4,-115.151817,36.083361,-78.787498,35.877602
47,77,LAS,RNO,1,-115.151817,36.083361,-119.767998,39.4991
47,79,LAS,SAN,4,-115.151817,36.083361,-117.190002441,32.7336006165
47,80,LAS,SAT,4,-115.151817,36.083361,-98.469803,29.533701
47,83,LAS,SEA,1,-115.151817,36.083361,-122.310276,47.447943
47,84,LAS,SFO,4,-115.151817,36.083361,-122.374821,37.619806
47,85,LAS,SJC,1,-115.151817,36.083361,-121.929188,37.362452
47,87,LAS,SLC,2,-115.151817,36.083361,-111.979866,40.78886
47,88,LAS,SMF,3,-115.151817,36.083361,-121.591003,38.6954
47,89,LAS,SNA,1,-115.151817,36.083361,-117.867996,33.675701
47,91,LAS,STL,4,-115.151817,36.083361,-90.370003,38.748697
47,93,LAS,TPA,4,-115.151817,36.083361,-82.533203,27.9755
48,3,LAX,ATL,4,-118.407997,33.942501,-84.428101,33.6367
48,25,LAX,DEN,4,-118.407997,33.942501,-104.672996521,39.861698150635
48,47,LAX,LAS,4,-118.407997,33.942501,-115.151817,36.083361
48,70,LAX,PHX,2,-118.407997,33.942501,-112.005905,33.435302
49,3,LGA,ATL,2,-73.872597,40.777199,-84.428101,33.6367
49,52,LGA,MCO,2,-73.872597,40.777199,-81.30899810791016,28.429399490356445
49,55,LGA,MIA,4,-73.872597,40.777199,-80.29060363769531,25.79319953918457
50,25,LIT,DEN,1,-92.223728,34.729582,-104.672996521,39.861698150635
51,25,MCI,DEN,2,-94.713898,39.2976,-104.672996521,39.861698150635
51,52,MCI,MCO,4,-94.713898,39.2976,-81.30899810791016,28.429399490356445
52,2,MCO,ALB,2,-81.30899810791016,28.429399490356445,-73.80169677734375,42.74829864501953
52,3,MCO,ATL,4,-81.30899810791016,28.429399490356445,-84.428101,33.6367
52,4,MCO,AUS,2,-81.30899810791016,28.429399490356445,-97.662015,30.197535
