originnum,destnum,origin,destination,cluster,logprob,originlon,originlat,destlon,destlat
22,52,COS,MCO,4,1.0,-104.700996,38.805801,-81.30899810791016,28.429399490356445
22,70,COS,PHX,1,0.9999999999999989,-104.700996,38.805801,-112.005905,33.435302
23,25,CVG,DEN,5,0.9999999992758035,-84.667801,39.048801,-104.672996521,39.861698150635
23,33,CVG,FLL,1,0.9999999999999512,-84.667801,39.048801,-80.152702,26.072599
23,47,CVG,LAS,5,1.0,-84.667801,39.048801,-115.151817,36.083361
23,52,CVG,MCO,4,1.0,-84.667801,39.048801,-81.30899810791016,28.429399490356445
23,55,CVG,MIA,4,1.0,-84.667801,39.048801,-80.29060363769531,25.79319953918457
23,60,CVG,MSY,5,0.9991837075776143,-84.667801,39.048801,-90.258003,29.993401
23,70,CVG,PHX,3,0.9999988259257758,-84.667801,39.048801,-112.005905,33.435302
23,78,CVG,RSW,4,1.0,-84.667801,39.048801,-81.75520324707031,26.53619956970215
23,90,CVG,SRQ,1,0.9999999998953546,-84.667801,39.048801,-82.554359,27.394631
23,93,CVG,TPA,4,1.0,-84.667801,39.048801,-82.533203,27.9755
24,25,DCA,DEN,5,1.0,-77.037697,38.8521,-104.672996521,39.861698150635
25,1,DEN,ABQ,4,0.9999966707320526,-104.672996521,39.861698150635,-106.608925,35.039976
25,2,DEN,ALB,5,0.4662701197289515,-104.672996521,39.861698150635,-73.80169677734375,42.74829864501953
25,3,DEN,ATL,4,1.0,-104.672996521,39.861698150635,-84.428101,33.6367
25,4,DEN,AUS,4,1.0,-104.672996521,39.861698150635,-97.662015,30.197535
25,5,DEN,BDL,5,0.2774246912337897,-104.672996521,39.861698150635,-72.688066,41.93851
25,6,DEN,BFM,4,1.0,-104.672996521,39.861698150635,-88.06809997559999,30.626800537100003
25,7,DEN,BIL,4,0.9999998608285595,-104.672996521,39.861698150635,-108.542999,45.807701
25,8,DEN,BIS,4,0.9166948507255258,-104.672996521,39.861698150635,-100.74600219726562,46.772701263427734
25,9,DEN,BKG,4,0.9998394194972211,-104.672996521,39.861698150635,-93.1991,36.5385
25,10,DEN,BMI,4,0.9998830503497225,-104.672996521,39.861698150635,-88.915901,40.4771
25,11,DEN,BNA,4,1.0,-104.672996521,39.861698150635,-86.6782,36.1245
25,13,DEN,BTV,1,0.8753749622806987,-104.672996521,39.861698150635,-73.153297,44.471901
25,14,DEN,BUF,4,0.9999999999997029,-104.672996521,39.861698150635,-78.732201,42.940498
25,15,DEN,BWI,4,1.0,-104.672996521,39.861698150635,-76.668297,39.1754
25,16,DEN,BZN,3,0.9999998906056595,-104.672996521,39.861698150635,-111.153,45.7775
25,18,DEN,CID,4,1.0,-104.672996521,39.861698150635,-91.7108,41.884701
25,19,DEN,CLE,4,1.0,-104.672996521,39.861698150635,-81.8498,41.411701
25,20,DEN,CLT,4,1.0,-104.672996521,39.861698150635,-80.94309997558594,35.2140007019043
25,21,DEN,CMH,4,1.0,-104.672996521,39.861698150635,-82.891899,39.998001
25,23,DEN,CVG,4,1.0,-104.672996521,39.861698150635,-84.667801,39.048801
25,24,DEN,DCA,4,1.0,-104.672996521,39.861698150635,-77.037697,38.8521
25,26,DEN,DFW,4,1.0,-104.672996521,39.861698150635,-97.038002,32.896801
25,27,DEN,DSM,4,1.0,-104.672996521,39.861698150635,-93.663101,41.534
25,28,DEN,DTW,1,0.9985584073162967,-104.672996521,39.861698150635,-83.353786,42.21377
25,29,DEN,ELP,4,0.9999989751931979,-104.672996521,39.861698150635,-106.377998,31.807199
25,31,DEN,FAR,1,0.999130939879132,-104.672996521,39.861698150635,-96.81580352783203,46.92070007324219
25,32,DEN,FAT,5,0.9999079207710427,-104.672996521,39.861698150635,-119.718002,36.776199
25,33,DEN,FLL,4,1.0,-104.672996521,39.861698150635,-80.152702,26.072599
25,34,DEN,FSD,1,0.9999999096074246,-104.672996521,39.861698150635,-96.741152,43.585463
25,35,DEN,GEG,1,0.9999840631699477,-104.672996521,39.861698150635,-117.533997,47.6199
25,36,DEN,GRB,1,0.5509799411063822,-104.672996521,39.861698150635,-88.130805,44.483459
25,37,DEN,GRR,4,0.9999999870346641,-104.672996521,39.861698150635,-85.52279663,42.88079834
25,38,DEN,GSP,4,1.0,-104.672996521,39.861698150635,-82.218903,34.895699
25,39,DEN,HRL,1,0.999999999991826,-104.672996521,39.861698150635,-97.65440368652344,26.228500366210938
25,42,DEN,IAH,4,1.0,-104.672996521,39.861698150635,-95.34140014648438,29.984399795532227
25,43,DEN,ICT,4,1.0,-104.672996521,39.861698150635,-97.433098,37.649899
25,44,DEN,IND,4,1.0,-104.672996521,39.861698150635,-86.294403,39.7173
25,47,DEN,LAS,1,1.0,-104.672996521,39.861698150635,-115.151817,36.083361
25,48,DEN,LAX,1,1.0,-104.672996521,39.861698150635,-118.407997,33.942501
25,50,DEN,LIT,4,1.0,-104.672996521,39.861698150635,-92.223728,34.729582
25,51,DEN,MCI,4,1.0,-104.672996521,39.861698150635,-94.713898,39.2976
25,52,DEN,MCO,4,1.0,-104.672996521,39.861698150635,-81.30899810791016,28.429399490356445
25,54,DEN,MEM,4,1.0,-104.672996521,39.861698150635,-89.9767,35.0424
25,55,DEN,MIA,4,1.0,-104.672996521,39.861698150635,-80.29060363769531,25.79319953918457
25,56,DEN,MKE,4,1.0,-104.672996521,39.861698150635,-87.896599,42.947201
25,57,DEN,MSN,4,1.0,-104.672996521,39.861698150635,-89.337502,43.1399
25,58,DEN,MSO,1,0.6426244249105707,-104.672996521,39.861698150635,-114.0910034,46.91630173
25,59,DEN,MSP,4,1.0,-104.672996521,39.861698150635,-93.221741,44.880081
25,60,DEN,MSY,4,1.0,-104.672996521,39.861698150635,-90.258003,29.993401
25,61,DEN,MYR,4,0.9999999956210891,-104.672996521,39.861698150635,-78.928299,33.679699
25,62,DEN,OKC,4,0.99999999984852,-104.672996521,39.861698150635,-97.598248,35.393388
25,63,DEN,OMA,4,1.0,-104.672996521,39.861698150635,-95.894096,41.3032
25,64,DEN,ONT,5,0.9999999999999998,-104.672996521,39.861698150635,-117.600998,34.056
25,65,DEN,ORD,4,1.0,-104.672996521,39.861698150635,-87.9048,41.9786
25,66,DEN,ORF,4,1.0,-104.672996521,39.861698150635,-76.201,36.895341
25,68,DEN,PDX,5,1.0,-104.672996521,39.861698150635,-122.598,45.588699
25,69,DEN,PHL,4,1.0,-104.672996521,39.861698150635,-75.241096,39.871899
25,70,DEN,PHX,1,1.0,-104.672996521,39.861698150635,-112.005905,33.435302
25,71,DEN,PIT,1,0.5284675848857142,-104.672996521,39.861698150635,-80.232903,40.491501
25,72,DEN,PNS,4,1.0,-104.672996521,39.861698150635,-87.1866,30.4734
25,73,DEN,PSP,5,0.9999875746205311,-104.672996521,39.861698150635,-116.507004,33.8297
25,76,DEN,RDU,4,1.0,-104.672996521,39.861698150635,-78.787498,35.877602
25,77,DEN,RNO,3,0.21694792368129429,-104.672996521,39.861698150635,-119.767998,39.4991
25,78,DEN,RSW,4,1.0,-104.672996521,39.861698150635,-81.75520324707031,26.53619956970215
25,79,DEN,SAN,1,1.0,-104.672996521,39.861698150635,-117.190002441,32.7336006165
25,80,DEN,SAT,4,1.0,-104.672996521,39.861698150635,-98.469803,29.533701
25,82,DEN,SDF,4,0.2640436695377105,-104.672996521,39.861698150635,-85.736,38.1744
25,83,DEN,SEA,5,1.0,-104.672996521,39.861698150635,-122.310276,47.447943
25,84,DEN,SFO,1,1.0,-104.672996521,39.861698150635,-122.374821,37.619806
25,85,DEN,SJC,1,0.9999999988474255,-104.672996521,39.861698150635,-121.929188,37.362452
25,87,DEN,SLC,5,1.0,-104.672996521,39.861698150635,-111.979866,40.78886
25,88,DEN,SMF,1,0.9999999999990478,-104.672996521,39.861698150635,-121.591003,38.6954
25,89,DEN,SNA,1,1.0,-104.672996521,39.861698150635,-117.867996,33.675701
25,91,DEN,STL,4,1.0,-104.672996521,39.861698150635,-90.370003,38.748697
25,92,DEN,SYR,1,0.3683370988035419,-104.672996521,39.861698150635,-76.1063003540039,43.11119842529297
25,93,DEN,TPA,4,1.0,-104.672996521,39.861698150635,-82.533203,27.9755
25,95,DEN,TUL,5,0.3028035187676999,-104.672996521,39.861698150635,-95.88809967041016,36.19839859008789
25,96,DEN,TUS,1,0.9999993847934302,-104.672996521,39.861698150635,-110.938053,32.115004
25,97,DEN,TYR,1,0.9996359063026484,-104.672996521,39.861698150635,-95.40239715576172,32.35409927368164
25,98,DEN,TYS,4,1.0,-104.672996521,39.861698150635,-83.994003,35.811001
25,99,DEN,XNA,4,1.0,-104.672996521,39.861698150635,-94.306801,36.281898
26,25,DFW,DEN,4,1.0,-97.038002,32.896801,-104.672996521,39.861698150635
26,47,DFW,LAS,1,1.0,-97.038002,32.896801,-115.151817,36.083361
26,52,DFW,MCO,4,1.0,-97.038002,32.896801,-81.30899810791016,28.429399490356445
26,69,DFW,PHL,4,1.0,-97.038002,32.896801,-75.241096,39.871899
26,97,DFW,TYR,4,0.9016572405921787,-97.038002,32.896801,-95.40239715576172,32.35409927368164
27,25,DSM,DEN,1,0.9999999999988375,-93.663101,41.534,-104.672996521,39.861698150635
27,52,DSM,MCO,4,1.0,-93.663101,41.534,-81.30899810791016,28.429399490356445
27,70,DSM,PHX,3,0.9999999964936331,-93.663101,41.534,-112.005905,33.435302
28,25,DTW,DEN,1,0.999095064083595,-83.353786,42.21377,-104.672996521,39.861698150635
28,47,DTW,LAS,5,0.9999999999999929,-83.353786,42.21377,-115.151817,36.083361
28,52,DTW,MCO,1,1.0,-83.353786,42.21377,-81.30899810791016,28.429399490356445
28,55,DTW,MIA,1,0.9999999999999983,-83.353786,42.21377,-80.29060363769531,25.79319953918457
28,70,DTW,PHX,3,0.9999999997315482,-83.353786,42.21377,-112.005905,33.435302
28,78,DTW,RSW,1,0.9999999999971758,-83.353786,42.21377,-81.75520324707031,26.53619956970215
29,25,ELP,DEN,1,0.9999995237095848,-106.377998,31.807199,-104.672996521,39.861698150635
30,3,EWR,ATL,3,0.9999999999292164,-74.168701,40.692501,-84.428101,33.6367
30,47,EWR,LAS,3,1.0,-74.168701,40.692501,-115.151817,36.083361
30,52,EWR,MCO,5,1.0,-74.168701,40.692501,-81.30899810791016,28.429399490356445
30,55,EWR,MIA,1,1.0,-74.168701,40.692501,-80.29060363769531,25.79319953918457
30,67,EWR,PBI,5,1.0,-74.168701,40.692501,-80.095596,26.683201
30,70,EWR,PHX,3,1.0,-74.168701,40.692501,-112.005905,33.435302
30,86,EWR,SJU,3,1.0,-74.168701,40.692501,-66.001801,18.4394
30,93,EWR,TPA,1,0.6861151704938139,-74.168701,40.692501,-82.533203,27.9755
31,25,FAR,DEN,1,0.9993579540788761,-96.81580352783203,46.92070007324219,-104.672996521,39.861698150635
