"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2014 General Election","ALLEGHENY","Representative in the General Assembly","46th Legislative District","Democratic","WHITE, JESSE JEFFREY","3,883","0","0","","","","","","","","",""
"2014 General Election","ALLEGHENY","Representative in the General Assembly","54th Legislative District","Republican","EVANKOVICH, ELI","2,911","0","0","","","","","","","","",""
"2014 General Election","ALLEGHENY","Representative in the General Assembly","54th Legislative District","Democratic","LEYLAND, PATRICK J","1,720","0","0","","","","","","","","",""
"2014 General Election","ARMSTRONG","Representative in the General Assembly","55th Legislative District","Republican","PANICHELLE, BRIAN E","534","0","0","","","","","","","","",""
"2014 General Election","ARMSTRONG","Representative in the General Assembly","55th Legislative District","Democratic","PETRARCA, JOSEPH A","946","0","0","","","","","","","","",""
"2014 General Election","ARMSTRONG","Representative in the General Assembly","60th Legislative District","Republican","PYLE, JEFFREY P","10,496","0","0","","","","","","","","",""
"2014 General Election","ARMSTRONG","Representative in the General Assembly","63rd Legislative District","Republican","OBERLANDER, DONNA R","3,877","0","0","","","","","","","","",""
"2014 General Election","BEAVER","Senator in the General Assembly","46th Senatorial District","Republican","BARTOLOTTA, CAMERA C","3,897","0","0","","","","","","","","",""
"2014 General Election","BEAVER","Senator in the General Assembly","46th Senatorial District","Democratic","SOLOBAY, TIMOTHY J","3,844","0","0","","","","","","","","",""
"2014 General Election","BEAVER","Representative in the General Assembly","10th Legislative District","Democratic","GIBBONS, JARET A","4,577","0","0","","","","","","","","",""
"2014 General Election","BEAVER","Representative in the General Assembly","14th Legislative District","Republican / Democratic","MARSHALL, JAMES E","13,475","0","0","","","","","","","","",""
"2014 General Election","BEAVER","Representative in the General Assembly","15th Legislative District","Republican","CHRISTIANA, JAMES J III","8,112","0","0","","","","","","","","",""
"2014 General Election","BEAVER","Representative in the General Assembly","15th Legislative District","Democratic","CAIN, PAUL","3,406","0","0","","","","","","","","",""
"2014 General Election","BEAVER","Representative in the General Assembly","16th Legislative District","Democratic","MATZIE, ROBERT F","12,381","0","0","","","","","","","","",""
"2014 General Election","BEDFORD","Representative in the General Assembly","69th Legislative District","Republican / Democratic","METZGAR, CARL WALKER","3,624","0","0","","","","","","","","",""
"2014 General Election","BEDFORD","Representative in the General Assembly","78th Legislative District","Republican","TOPPER, JESSE W","8,988","0","0","","","","","","","","",""
"2014 General Election","BERKS","Senator in the General Assembly","24th Senatorial District","Republican","MENSCH, ROBERT BRUCE","6,076","0","0","","","","","","","","",""
"2014 General Election","BERKS","Senator in the General Assembly","24th Senatorial District","Democratic","HANSEN, JACK","3,346","0","0","","","","","","","","",""
"2014 General Election","BERKS","Senator in the General Assembly","44th Senatorial District","Republican","RAFFERTY, JOHN C JR.","3,751","0","0","","","","","","","","",""
"2014 General Election","BERKS","Senator in the General Assembly","44th Senatorial District","Democratic","COZZONE, KATHI","1,926","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","5th Legislative District","Republican","JOZWIAK, BARRY J.","11,367","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","5th Legislative District","Democratic","SHEELER, FREDERICK C","6,594","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","124th Legislative District","Republican / Democratic","KNOWLES, JEROME P","5,361","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","126th Legislative District","Democratic","ROZZI, MARK L","10,687","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","127th Legislative District","Democratic","CALTAGIRONE, THOMAS R","5,156","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","128th Legislative District","Republican","GILLEN, MARK M","13,739","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","129th Legislative District","Republican","COX, JAMES A JR","11,552","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","130th Legislative District","Republican","MALONEY, DAVID M SR.","11,177","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","130th Legislative District","Democratic","KESSLER, DAVID R.","6,851","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","134th Legislative District","Republican","MACKENZIE, RYAN E","3,690","0","0","","","","","","","","",""
"2014 General Election","BERKS","Representative in the General Assembly","187th Legislative District","Republican","DAY, GARY","1,570","0","0","","","","","","","","",""
"2014 General Election","BLAIR","Senator in the General Assembly","30th Senatorial District","Republican","EICHELBERGER, JOHN H JR","24,999","0","0","","","","","","","","",""
"2014 General Election","BLAIR","Representative in the General Assembly","79th Legislative District","Republican","MCGINNIS, JOHN D","10,685","0","0","","","","","","","","",""
"2014 General Election","BLAIR","Representative in the General Assembly","80th Legislative District","Republican","WARD, JUDITH F","11,001","0","0","","","","","","","","",""
"2014 General Election","BLAIR","Representative in the General Assembly","80th Legislative District","Independent","LYNN, JASON D","5,251","0","0","","","","","","","","",""
"2014 General Election","BRADFORD","Representative in the General Assembly","68th Legislative District","Republican","BAKER, MATTHEW E","3,714","0","0","","","","","","","","",""
"2014 General Election","BRADFORD","Representative in the General Assembly","68th Legislative District","Democratic","RUTH, JONATHAN A","619","0","0","","","","","","","","",""
"2014 General Election","BRADFORD","Representative in the General Assembly","110th Legislative District","Republican","PICKETT, TINA","9,391","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Senator in the General Assembly","6th Senatorial District","Republican","TOMLINSON, ROBERT M","45,361","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Senator in the General Assembly","6th Senatorial District","Democratic","YEAGER-ROSE, KIMBERLY","27,997","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Senator in the General Assembly","10th Senatorial District","Republican","MCILHINNEY, CHARLES T JR","49,605","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Senator in the General Assembly","10th Senatorial District","Democratic","CICKAY, STEPHEN GEORGE JR","34,967","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Senator in the General Assembly","12th Senatorial District","Republican","GREENLEAF, STEWART J","15,026","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Senator in the General Assembly","12th Senatorial District","Democratic","DAMSKER, RUTH S","7,877","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Senator in the General Assembly","24th Senatorial District","Republican","MENSCH, ROBERT BRUCE","9,353","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Senator in the General Assembly","24th Senatorial District","Democratic","HANSEN, JACK","6,054","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","18th Legislative District","Republican","DIGIROLAMO, GENE","11,551","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","29th Legislative District","Republican","O'NEILL, BERNARD T","15,863","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","31st Legislative District","Republican","GIBBON, DAVID WILLIAM","9,639","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","31st Legislative District","Democratic","SANTARSIERO, STEVEN","13,323","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","140th Legislative District","Democratic","GALLOWAY, JOHN T","11,530","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","141st Legislative District","Republican","LIPPOLIS, JOSEPH J","4,260","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","141st Legislative District","Democratic","DAVIS, TINA MARIE","10,233","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","142nd Legislative District","Republican","FARRY, FRANK A","14,758","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","142nd Legislative District","Democratic","KILEY, REGINA H","7,878","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","143rd Legislative District","Republican","QUINN, MARGUERITE CORR","17,107","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","144th Legislative District","Republican","WATSON, KATHARINE M","14,907","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","145th Legislative District","Republican","STAATS, CRAIG T","11,268","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","145th Legislative District","Democratic","CHELLEW, KAREN D","7,914","0","0","","","","","","","","",""
"2014 General Election","BUCKS","Representative in the General Assembly","178th Legislative District","Republican","PETRI, SCOTT A","17,098","0","0","","","","","","","","",""
"2014 General Election","BUTLER","Representative in the General Assembly","8th Legislative District","Republican","NESBIT, TEDD C","6,006","0","0","","","","","","","","",""
"2014 General Election","BUTLER","Representative in the General Assembly","10th Legislative District","Democratic","GIBBONS, JARET A","1,216","0","0","","","","","","","","",""
"2014 General Election","BUTLER","Representative in the General Assembly","11th Legislative District","Republican","ELLIS, BRIAN L","14,290","0","0","","","","","","","","",""
"2014 General Election","BUTLER","Representative in the General Assembly","12th Legislative District","Republican","METCALFE, DARYL D","12,458","0","0","","","","","","","","",""
"2014 General Election","BUTLER","Representative in the General Assembly","12th Legislative District","Democratic","ZUCCO, LISA INEZ","7,731","0","0","","","","","","","","",""
"2014 General Election","BUTLER","Representative in the General Assembly","14th Legislative District","Republican / Democratic","MARSHALL, JAMES E","4,122","0","0","","","","","","","","",""
"2014 General Election","BUTLER","Representative in the General Assembly","60th Legislative District","Republican","PYLE, JEFFREY P","2,957","0","0","","","","","","","","",""
"2014 General Election","BUTLER","Representative in the General Assembly","64th Legislative District","Republican","JAMES, ROBERT LEE","1,243","0","0","","","","","","","","",""
"2014 General Election","CAMBRIA","Representative in the General Assembly","71st Legislative District","Republican","RIGBY, JAMES PATRICK","8,821","0","0","","","","","","","","",""
"2014 General Election","CAMBRIA","Representative in the General Assembly","71st Legislative District","Democratic","BARBIN, BRYAN E","9,530","0","0","","","","","","","","",""
"2014 General Election","CAMBRIA","Representative in the General Assembly","72nd Legislative District","Republican","RICE, PHILIP D","6,792","0","0","","","","","","","","",""
"2014 General Election","CAMBRIA","Representative in the General Assembly","72nd Legislative District","Democratic","BURNS, FRANK J","11,354","0","0","","","","","","","","",""
"2014 General Election","CAMBRIA","Representative in the General Assembly","73rd Legislative District","Republican / Democratic","SANKEY, THOMAS R III","3,642","0","0","","","","","","","","",""
"2014 General Election","CAMERON","Representative in the General Assembly","67th Legislative District","Republican","CAUSER, MARTIN T","1,172","0","0","","","","","","","","",""
"2014 General Election","CARBON","Senator in the General Assembly","14th Senatorial District","Democratic","YUDICHAK, JOHN T","10,666","0","0","","","","","","","","",""
"2014 General Election","CARBON","Representative in the General Assembly","122nd Legislative District","Republican","HEFFLEY, DOYLE M","10,427","0","0","","","","","","","","",""
"2014 General Election","CARBON","Representative in the General Assembly","122nd Legislative District","Democratic","BORGER, PATRICIA DAWN","5,741","0","0","","","","","","","","",""
"2014 General Election","CARBON","Representative in the General Assembly","124th Legislative District","Republican / Democratic","KNOWLES, JEROME P","798","0","0","","","","","","","","",""
"2014 General Election","CENTRE","Senator in the General Assembly","34th Senatorial District","Republican","CORMAN, JACOB  D III","27,960","0","0","","","","","","","","",""
"2014 General Election","CENTRE","Representative in the General Assembly","76th Legislative District","Democratic","HANNA, MICHAEL KELLY SR","4,211","0","0","","","","","","","","",""
"2014 General Election","CENTRE","Representative in the General Assembly","77th Legislative District","Democratic","CONKLIN, H SCOTT","7,179","0","0","","","","","","","","",""
"2014 General Election","CENTRE","Representative in the General Assembly","77th Legislative District","Libertarian","MARTIN, CHARLES T","1,353","0","0","","","","","","","","",""
"2014 General Election","CENTRE","Representative in the General Assembly","81st Legislative District","Republican","IRVIN, RICH","2,808","0","0","","","","","","","","",""
"2014 General Election","CENTRE","Representative in the General Assembly","81st Legislative District","Democratic","FLECK, MIKE","3,037","0","0","","","","","","","","",""
"2014 General Election","CENTRE","Representative in the General Assembly","171st Legislative District","Republican","BENNINGHOFF, KERRY ALBERT","13,499","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Senator in the General Assembly","26th Senatorial District","Republican","MCGARRIGLE, THOMAS J","5,170","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Senator in the General Assembly","26th Senatorial District","Democratic","KANE, JOHN I SR","3,548","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Senator in the General Assembly","44th Senatorial District","Republican","RAFFERTY, JOHN C JR.","23,873","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Senator in the General Assembly","44th Senatorial District","Democratic","COZZONE, KATHI","15,484","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","13th Legislative District","Republican","LAWRENCE, JOHN ADDA","9,764","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","13th Legislative District","Democratic","SCHOTT, ANN V S","5,815","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","26th Legislative District","Republican","HENNESSEY, TIMOTHY F","12,413","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","74th Legislative District","Republican","LEWIS, HARRY JR","8,236","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","74th Legislative District","Democratic","MAXWELL, JOSHUA ANTHONY","7,074","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","155th Legislative District","Republican","CORBIN, REBECCA P","12,809","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","155th Legislative District","Democratic","BURNS, JAMES","8,435","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","156th Legislative District","Republican","TRUITT, DANIEL GEORGE SR","12,429","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","156th Legislative District","Democratic","SNYDER, SANDRA A","8,350","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","157th Legislative District","Republican","KAMPF, WARREN E","9,569","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","157th Legislative District","Democratic","MOSKOWITZ, MARIAN D","7,978","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","158th Legislative District","Republican","ROSS, CHRIS","11,350","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","158th Legislative District","Democratic","RZUCIDLO, SUSAN  F","8,130","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","160th Legislative District","Republican","BARRAR, STEPHEN E","3,582","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","160th Legislative District","Democratic","HOFFMAN, WHITNEY S","3,248","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","167th Legislative District","Republican","MILNE, DUANE D","13,439","0","0","","","","","","","","",""
"2014 General Election","CHESTER","Representative in the General Assembly","167th Legislative District","Democratic","CROWLEY, ANNE R","8,453","0","0","","","","","","","","",""
"2014 General Election","CLARION","Representative in the General Assembly","63rd Legislative District","Republican","OBERLANDER, DONNA R","9,411","0","0","","","","","","","","",""
"2014 General Election","CLEARFIELD","Representative in the General Assembly","73rd Legislative District","Republican / Democratic","SANKEY, THOMAS R III","11,329","0","0","","","","","","","","",""
"2014 General Election","CLEARFIELD","Representative in the General Assembly","75th Legislative District","Republican","GABLER, MATTHEW M","7,010","0","0","","","","","","","","",""
"2014 General Election","CLEARFIELD","Representative in the General Assembly","75th Legislative District","Democratic","DONAHUE, JOHN F","2,057","0","0","","","","","","","","",""
"2014 General Election","CLINTON","Representative in the General Assembly","76th Legislative District","Democratic","HANNA, MICHAEL KELLY SR","6,715","0","0","","","","","","","","",""
"2014 General Election","COLUMBIA","Representative in the General Assembly","107th Legislative District","Republican","MASSER, KURT A","817","0","0","","","","","","","","",""
"2014 General Election","COLUMBIA","Representative in the General Assembly","107th Legislative District","Libertarian","BURD, JOHN A","222","0","0","","","","","","","","",""
"2014 General Election","COLUMBIA","Representative in the General Assembly","109th Legislative District","Republican","MILLARD, DAVID R","10,645","0","0","","","","","","","","",""
"2014 General Election","CRAWFORD","Senator in the General Assembly","50th Senatorial District","Republican","BROOKS, MICHELE","16,682","0","0","","","","","","","","",""
"2014 General Election","CRAWFORD","Senator in the General Assembly","50th Senatorial District","Democratic","MUHA, MICHAEL T","6,815","0","0","","","","","","","","",""
"2014 General Election","CRAWFORD","Representative in the General Assembly","6th Legislative District","Republican","ROAE, BRADLEY T","8,662","0","0","","","","","","","","",""
"2014 General Election","CRAWFORD","Representative in the General Assembly","6th Legislative District","Democratic","SHUTSA, JUANITA KAY","4,932","0","0","","","","","","","","",""
"2014 General Election","CRAWFORD","Representative in the General Assembly","17th Legislative District","Republican","WENTLING, PARKE H","3,983","0","0","","","","","","","","",""
"2014 General Election","CRAWFORD","Representative in the General Assembly","17th Legislative District","Democratic","HANSON, WAYNE E","1,901","0","0","","","","","","","","",""
"2014 General Election","CRAWFORD","Representative in the General Assembly","65th Legislative District","Republican","RAPP, KATHY L","2,578","0","0","","","","","","","","",""
"2014 General Election","CRAWFORD","Representative in the General Assembly","65th Legislative District","Democratic","ANDERSON, TOBY","1,113","0","0","","","","","","","","",""
"2014 General Election","CUMBERLAND","Senator in the General Assembly","30th Senatorial District","Republican","EICHELBERGER, JOHN H JR","7,512","0","0","","","","","","","","",""
"2014 General Election","CUMBERLAND","Representative in the General Assembly","86th Legislative District","Republican","KELLER, MARK K","2,759","0","0","","","","","","","","",""
"2014 General Election","CUMBERLAND","Representative in the General Assembly","87th Legislative District","Republican","GRELL, GLEN R","19,685","0","0","","","","","","","","",""
"2014 General Election","CUMBERLAND","Representative in the General Assembly","88th Legislative District","Republican","DELOZIER, SHERYL M","16,716","0","0","","","","","","","","",""
"2014 General Election","CUMBERLAND","Representative in the General Assembly","92nd Legislative District","Republican","REGAN, MICHAEL R","1,821","0","0","","","","","","","","",""
"2014 General Election","CUMBERLAND","Representative in the General Assembly","193rd Legislative District","Republican","TALLMAN, WILL F","5,242","0","0","","","","","","","","",""
"2014 General Election","CUMBERLAND","Representative in the General Assembly","193rd Legislative District","Democratic","BART, PAUL J JR","2,085","0","0","","","","","","","","",""
"2014 General Election","CUMBERLAND","Representative in the General Assembly","199th Legislative District","Republican","BLOOM, STEPHEN L","11,368","0","0","","","","","","","","",""
"2014 General Election","CUMBERLAND","Representative in the General Assembly","199th Legislative District","Democratic","BARTOLI, JILL SUNDAY","6,172","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Senator in the General Assembly","48th Senatorial District","Republican","FOLMER, MICHAEL J","11,849","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Representative in the General Assembly","98th Legislative District","Republican","HICKERNELL, DAVID S","1,194","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Representative in the General Assembly","98th Legislative District","Democratic","CROCAMO, ANTHONY THOMAS","323","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Representative in the General Assembly","98th Legislative District","Green","HAZEL, RYAN","76","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Representative in the General Assembly","103rd Legislative District","Democratic","KIM, PATTY H","10,512","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Representative in the General Assembly","104th Legislative District","Republican","HELM, SUSAN C","10,920","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Representative in the General Assembly","104th Legislative District","Democratic","STILP, EUGENE  P","9,209","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Representative in the General Assembly","105th Legislative District","Republican","MARSICO, RONALD S","15,432","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Representative in the General Assembly","105th Legislative District","Democratic","MCENTEE, KELLY JEAN","7,391","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Representative in the General Assembly","106th Legislative District","Republican","PAYNE, JOHN D","14,727","0","0","","","","","","","","",""
"2014 General Election","DAUPHIN","Representative in the General Assembly","125th Legislative District","Republican","TOBASH, MICHAEL G","2,544","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Senator in the General Assembly","8th Senatorial District","Democratic","WILLIAMS, ANTHONY HARDY","16,155","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Senator in the General Assembly","26th Senatorial District","Republican","MCGARRIGLE, THOMAS J","40,740","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Senator in the General Assembly","26th Senatorial District","Democratic","KANE, JOHN I SR","38,622","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","159th Legislative District","Republican","CIACH, MICHAEL J","3,881","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","159th Legislative District","Democratic","KIRKLAND, THADDEUS","9,281","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","160th Legislative District","Republican","BARRAR, STEPHEN E","9,721","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","160th Legislative District","Democratic","HOFFMAN, WHITNEY S","4,696","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","161th Legislative District","Republican","HACKETT, JOSEPH T SR","12,916","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","161th Legislative District","Democratic","KRUEGER-BRANEKY, LEANNE T","10,176","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","162th Legislative District","Republican / Democratic","MICCARELLI, NICHOLAS ANTHONY","17,902","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","163th Legislative District","Republican","SANTORA, JAMES","11,644","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","163th Legislative District","Democratic","RONGIONE, VINCENT A","10,100","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","164th Legislative District","Republican","SIDDIQUI, MOHAMMAD SAUD","3,056","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","164th Legislative District","Democratic","DAVIDSON, MARGO","12,272","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","165th Legislative District","Republican","ADOLPH, WILLIAM FRANCIS JR","15,765","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","165th Legislative District","Democratic","HADLEY, CHARLES G","8,615","0","0","","","","","","","","",""
"2014 General Election","DELAWARE","Representative in the General Assembly","166th Legislative District","Republican","ARMSTRONG, SARAH ELIZABETH","7,437","0","0","","","","","","","","",""
