"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","ALLEGHENY","Representative in the General Assembly","34th Legislative District","Democratic","COSTA, PAUL","23,511","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","35th Legislative District","Democratic","GERGELY, MARC J","19,473","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","36th Legislative District","Democratic","READSHAW, HARRY","21,798","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","38th Legislative District","Democratic","KORTZ, BILL","21,031","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","39th Legislative District","Republican","SACCONE, RICK","11,106","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","39th Legislative District","Democratic","LEVDANSKY, DAVE","11,420","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","40th Legislative District","Republican","MAHER, JOHN","18,292","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","42nd Legislative District","Republican / Democratic","SMITH, MATT","30,826","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","44th Legislative District","Republican","MUSTIO, MARK","21,581","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","44th Legislative District","Democratic","SCAPPE, MARK","13,259","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","45th Legislative District","Republican","KIME, AARON L","10,211","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","45th Legislative District","Democratic","KOTIK, NICK M","19,735","0","0","","","","","","","","",""
"2012 General Election","ALLEGHENY","Representative in the General Assembly","46th Legislative District","Republican / Democratic","WHITE, JESSE J","1,637","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Senator in the General Assembly","41st Senatorial District","Republican","WHITE, DON","19,060","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Representative in the General Assembly","54th Legislative District","Republican","EVANKOVICH, ELI","1,833","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Representative in the General Assembly","54th Legislative District","Democratic","LEYLAND, PATRICK J","1,067","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Representative in the General Assembly","55th Legislative District","Republican","HAUSER, JOHN","317","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Representative in the General Assembly","55th Legislative District","Democratic","PETRARCA, JOSEPH A","540","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Representative in the General Assembly","60th Legislative District","Republican","PYLE, JEFF PAUL","11,708","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Representative in the General Assembly","60th Legislative District","Democratic","BOWMAN, JO ELLEN","6,566","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Representative in the General Assembly","63rd Legislative District","Republican / Democratic","OBERLANDER, DONNA","6,630","0","0","","","","","","","","",""
"2012 General Election","ARMSTRONG","Representative in the General Assembly","66th Legislative District","Republican","SMITH, SAM","369","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Senator in the General Assembly","47th Senatorial District","Republican","VOGEL, JR, ELDER A","43,140","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Senator in the General Assembly","47th Senatorial District","Democratic","VILLELLA, KIMBERLY PAZZANITA","31,049","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Representative in the General Assembly","9th Legislative District","Republican","MURTHA, JASON T","549","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Representative in the General Assembly","9th Legislative District","Democratic","SAINATO, CHRISTOPHER","339","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Representative in the General Assembly","10th Legislative District","Republican","SEE, MICHAEL K","4,631","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Representative in the General Assembly","10th Legislative District","Democratic","GIBBONS, JARET A","4,048","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Representative in the General Assembly","14th Legislative District","Republican / Democratic","MARSHALL, JIM","23,250","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Representative in the General Assembly","15th Legislative District","Republican","CHRISTIANA, JAMES  J","17,473","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Representative in the General Assembly","15th Legislative District","Democratic","WILLIAMS, ROBERT O","11,144","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Representative in the General Assembly","16th Legislative District","Republican","CODER, KATHY","5,425","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Representative in the General Assembly","16th Legislative District","Democratic","MATZIE, ROBERT F","10,073","0","0","","","","","","","","",""
"2012 General Election","BEAVER","Representative in the General Assembly","46th Legislative District","Republican / Democratic","WHITE, JESSE J","1,555","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","Representative in the General Assembly","69th Legislative District","Republican / Democratic","METZGAR, CARL W","2,942","0","0","","","","","","","","",""
"2012 General Election","BEDFORD","Representative in the General Assembly","78th Legislative District","Republican / Democratic","HESS, DICK L","17,965","0","0","","","","","","","","",""
"2012 General Election","BERKS","Senator in the General Assembly","11th Senatorial District","Republican","MOGEL, KAREN L","35,318","0","0","","","","","","","","",""
"2012 General Election","BERKS","Senator in the General Assembly","11th Senatorial District","Democratic","SCHWANK, JUDY","63,796","0","0","","","","","","","","",""
"2012 General Election","BERKS","Senator in the General Assembly","29th Senatorial District","Republican","ARGALL, DAVID G","7,002","0","0","","","","","","","","",""
"2012 General Election","BERKS","Senator in the General Assembly","29th Senatorial District","Democratic","SEIP, TIM","3,793","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","124th Legislative District","Republican","KNOWLES, JERRY","8,435","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","124th Legislative District","Independent","PICCIANO, DANTE","1,664","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","125th Legislative District","Republican","TOBASH, MIKE G","2,732","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","125th Legislative District","Democratic","HARMAN, VICKI","1,412","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","126th Legislative District","Republican","BILLMAN, JAMES R","7,119","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","126th Legislative District","Democratic","ROZZI, MARK","16,811","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","127th Legislative District","Democratic","CALTAGIRONE, THOMAS R","14,291","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","128th Legislative District","Republican","GILLEN, MARK M","24,640","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","129th Legislative District","Republican","COX, JIM","17,926","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","129th Legislative District","Democratic","SAAR, ERIK","12,245","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","130th Legislative District","Republican","MALONEY, DAVID  M","19,903","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","130th Legislative District","Democratic","DIESINGER, RUSSELL JAMES","11,743","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","134th Legislative District","Republican","MACKENZIE, RYAN E","2,793","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","134th Legislative District","Democratic","REYNARD, JOHN","1,658","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","187th Legislative District","Republican","DAY, GARY W","4,873","0","0","","","","","","","","",""
"2012 General Election","BERKS","Representative in the General Assembly","187th Legislative District","Democratic","HAAS, JOSEPH M","3,810","0","0","","","","","","","","",""
"2012 General Election","BLAIR","Representative in the General Assembly","79th Legislative District","Republican","MCGINNIS, JOHN D","11,935","0","0","","","","","","","","",""
"2012 General Election","BLAIR","Representative in the General Assembly","79th Legislative District","Democratic","FLAREND, RICHARD","9,752","0","0","","","","","","","","",""
"2012 General Election","BLAIR","Representative in the General Assembly","80th Legislative District","Republican","STERN, JERRY ALLEN","23,152","0","0","","","","","","","","",""
"2012 General Election","BLAIR","Representative in the General Assembly","81st Legislative District","Republican","FLECK, MICHAEL E","1,645","0","0","","","","","","","","",""
"2012 General Election","BRADFORD","Senator in the General Assembly","23rd Senatorial District","Republican","YAW, GENE","16,340","0","0","","","","","","","","",""
"2012 General Election","BRADFORD","Senator in the General Assembly","23rd Senatorial District","Democratic","CLEVELAND, LUANA","6,419","0","0","","","","","","","","",""
"2012 General Election","BRADFORD","Representative in the General Assembly","68th Legislative District","Republican / Democratic","BAKER, MATTHEW E","6,400","0","0","","","","","","","","",""
"2012 General Election","BRADFORD","Representative in the General Assembly","110th Legislative District","Republican","PICKETT, TINA L","14,482","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","18th Legislative District","Republican","DIGIROLAMO, GENE D","18,838","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","29th Legislative District","Republican","O'NEILL, BERNIE","20,970","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","29th Legislative District","Democratic","MUNROE, BRIAN","14,998","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","31st Legislative District","Republican","CHAPMAN, ANNE M","15,105","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","31st Legislative District","Democratic","SANTARSIERO, STEVEN J","20,640","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","140th Legislative District","Republican","DAVID , ERIC","6,777","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","140th Legislative District","Democratic","GALLOWAY, JOHN T","18,465","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","141st Legislative District","Republican","SPOSATO, ANTHONY","6,671","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","141st Legislative District","Democratic","DAVIS, TINA","17,630","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","142nd Legislative District","Republican","FARRY, FRANK A","20,596","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","143rd Legislative District","Republican","QUINN, MARGUERITE","21,483","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","143rd Legislative District","Democratic","FREDERICK, JOSEPH","13,280","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","144th Legislative District","Republican","WATSON, KATHARINE M","25,604","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","145th Legislative District","Republican","CLYMER, PAUL I","19,692","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","145th Legislative District","Democratic","WHITESELL, MARY A","10,739","0","0","","","","","","","","",""
"2012 General Election","BUCKS","Representative in the General Assembly","178th Legislative District","Republican","PETRI, SCOTT A","24,906","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Senator in the General Assembly","21st Senatorial District","Republican","HUTCHINSON, SCOTT E","21,402","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Senator in the General Assembly","41st Senatorial District","Republican","WHITE, DON","11,572","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Representative in the General Assembly","8th Legislative District","Republican","STEVENSON, DICK","15,924","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Representative in the General Assembly","10th Legislative District","Republican","SEE, MICHAEL K","1,630","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Representative in the General Assembly","10th Legislative District","Democratic","GIBBONS, JARET A","1,675","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Representative in the General Assembly","11th Legislative District","Republican / Democratic","ELLIS, BRIAN L","25,433","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Representative in the General Assembly","12th Legislative District","Republican","METCALFE, DARYL","29,567","0","0","","","","","","","","",""
"2012 General Election","BUTLER","Representative in the General Assembly","64th Legislative District","Republican","JAMES, R LEE","1,354","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","Senator in the General Assembly","35th Senatorial District","Republican","HOUSER, TIMOTHY P","29,155","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","Senator in the General Assembly","35th Senatorial District","Democratic","WOZNIAK, JOHN N","30,697","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","Representative in the General Assembly","71st Legislative District","Republican","STALLEY, SHERRY L","10,346","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","Representative in the General Assembly","71st Legislative District","Democratic","BARBIN, BRYAN E","13,023","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","Representative in the General Assembly","72nd Legislative District","Democratic","BURNS, FRANK J","11,843","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","Representative in the General Assembly","73rd Legislative District","Republican","WILSON, RANDALL J","8,333","0","0","","","","","","","","",""
"2012 General Election","CAMBRIA","Representative in the General Assembly","73rd Legislative District","Democratic","HALUSKA, GARY","13,906","0","0","","","","","","","","",""
"2012 General Election","CAMERON","Senator in the General Assembly","25th Senatorial District","Republican","SCARNATI, III, JOSEPH B","1,720","0","0","","","","","","","","",""
"2012 General Election","CAMERON","Representative in the General Assembly","67th Legislative District","Republican","CAUSER, MARTIN T","1,733","0","0","","","","","","","","",""
"2012 General Election","CARBON","Senator in the General Assembly","29th Senatorial District","Republican","ARGALL, DAVID G","7,347","0","0","","","","","","","","",""
"2012 General Election","CARBON","Senator in the General Assembly","29th Senatorial District","Democratic","SEIP, TIM","4,669","0","0","","","","","","","","",""
"2012 General Election","CARBON","Representative in the General Assembly","122nd Legislative District","Republican","HEFFLEY, DOYLE M","15,006","0","0","","","","","","","","",""
"2012 General Election","CARBON","Representative in the General Assembly","122nd Legislative District","Democratic","RABENOLD, RONALD J","10,403","0","0","","","","","","","","",""
"2012 General Election","CENTRE","Senator in the General Assembly","35th Senatorial District","Republican","HOUSER, TIMOTHY P","1,191","0","0","","","","","","","","",""
"2012 General Election","CENTRE","Senator in the General Assembly","35th Senatorial District","Democratic","WOZNIAK, JOHN N","1,460","0","0","","","","","","","","",""
"2012 General Election","CENTRE","Representative in the General Assembly","76th Legislative District","Democratic","HANNA, MIKE","6,184","0","0","","","","","","","","",""
"2012 General Election","CENTRE","Representative in the General Assembly","77th Legislative District","Republican","REESE, RON","10,595","0","0","","","","","","","","",""
"2012 General Election","CENTRE","Representative in the General Assembly","77th Legislative District","Democratic","CONKLIN, H SCOTT","20,126","0","0","","","","","","","","",""
"2012 General Election","CENTRE","Representative in the General Assembly","171st Legislative District","Republican","BENNINGHOFF, KERRY A","17,667","0","0","","","","","","","","",""
"2012 General Election","CENTRE","Representative in the General Assembly","171st Legislative District","Democratic","LEE, CHRISTOPHER G","10,388","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Senator in the General Assembly","9th Senatorial District","Republican","PILEGGI, DOMINIC F","31,782","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Senator in the General Assembly","9th Senatorial District","Democratic","WORRELL, PATRICIA  L","20,802","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Senator in the General Assembly","19th Senatorial District","Republican","AMENTAS, CHRISTOPHER J","56,064","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Senator in the General Assembly","19th Senatorial District","Democratic","DINNIMAN, ANDREW E","77,619","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","13th Legislative District","Republican","LAWRENCE, JOHN","17,855","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","13th Legislative District","Democratic","SCHOTT, ERIC S","15,672","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","26th Legislative District","Republican","HENNESSEY, TIM","18,058","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","26th Legislative District","Democratic","HAYS, MIKE D","14,033","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","155th Legislative District","Republican","CORBIN, BECKY","19,787","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","155th Legislative District","Democratic","MAXWELL, JOSH A","17,131","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","156th Legislative District","Republican","TRUITT, DAN","17,080","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","156th Legislative District","Democratic","BINDER, BRET M","16,193","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","157th Legislative District","Republican","KAMPF, WARREN E","14,603","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","157th Legislative District","Democratic","DRUCKER, PAUL J","14,209","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","158th Legislative District","Republican","ROSS, CHRIS","19,736","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","158th Legislative District","Democratic","RZUCIDLO, SUSAN F","14,037","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","160th Legislative District","Republican","BARRAR, STEPHEN E","4,703","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","167th Legislative District","Republican","MILNE, DUANE D","20,822","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","167th Legislative District","Democratic","BRODERICK, ROB","14,781","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","168th Legislative District","Republican","KILLION, THOMAS H","3,556","0","0","","","","","","","","",""
"2012 General Election","CHESTER","Representative in the General Assembly","168th Legislative District","Democratic","ALOIS, BETH","2,408","0","0","","","","","","","","",""
"2012 General Election","CLARION","Senator in the General Assembly","21st Senatorial District","Republican","HUTCHINSON, SCOTT E","13,334","0","0","","","","","","","","",""
"2012 General Election","CLARION","Representative in the General Assembly","63rd Legislative District","Republican / Democratic","OBERLANDER, DONNA","15,439","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","Senator in the General Assembly","25th Senatorial District","Republican","SCARNATI, III, JOSEPH B","12,405","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","Senator in the General Assembly","35th Senatorial District","Republican","HOUSER, TIMOTHY P","5,089","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","Senator in the General Assembly","35th Senatorial District","Democratic","WOZNIAK, JOHN N","4,978","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","Senator in the General Assembly","41st Senatorial District","Republican","WHITE, DON","5,101","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","Representative in the General Assembly","74th Legislative District","Republican","SANKEY, III, THOMAS R","13,391","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","Representative in the General Assembly","74th Legislative District","Democratic","MCCRACKEN, MARK B","8,595","0","0","","","","","","","","",""
"2012 General Election","CLEARFIELD","Representative in the General Assembly","75th Legislative District","Republican","GABLER, MATT","8,470","0","0","","","","","","","","",""
"2012 General Election","CLINTON","Senator in the General Assembly","35th Senatorial District","Republican","HOUSER, TIMOTHY P","6,496","0","0","","","","","","","","",""
"2012 General Election","CLINTON","Senator in the General Assembly","35th Senatorial District","Democratic","WOZNIAK, JOHN N","6,492","0","0","","","","","","","","",""
"2012 General Election","CLINTON","Representative in the General Assembly","76th Legislative District","Democratic","HANNA, MIKE","10,659","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","Senator in the General Assembly","27th Senatorial District","Republican","GORDNER, JOHN R","20,396","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","Representative in the General Assembly","107th Legislative District","Republican","MASSER, KURT A","597","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","Representative in the General Assembly","107th Legislative District","Democratic","YEAGER, TED T","385","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","Representative in the General Assembly","109th Legislative District","Republican","MILLARD, DAVID R","12,851","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","Representative in the General Assembly","109th Legislative District","Democratic","KNORR, II, DANIEL D","10,728","0","0","","","","","","","","",""
"2012 General Election","COLUMBIA","Representative in the General Assembly","117th Legislative District","Republican / Democratic","BOBACK, KAREN","732","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","Representative in the General Assembly","5th Legislative District","Republican","LUCAS, GREG","3,833","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","Representative in the General Assembly","5th Legislative District","Democratic","WHITE, JASON G","2,450","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","Representative in the General Assembly","6th Legislative District","Republican","ROAE, BRAD","16,903","0","0","","","","","","","","",""
"2012 General Election","CRAWFORD","Representative in the General Assembly","17th Legislative District","Republican","BROOKS, MICHELE","5,198","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Senator in the General Assembly","31st Senatorial District","Republican / Democratic","VANCE, PATRICIA H","103,832","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Representative in the General Assembly","87th Legislative District","Republican","GRELL, GLEN  R","29,791","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Representative in the General Assembly","88th Legislative District","Republican","DELOZIER, SHERYL MCVITTY","25,453","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Representative in the General Assembly","89th Legislative District","Republican","KAUFFMAN, ROB","2,839","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Representative in the General Assembly","89th Legislative District","Democratic","SPICKA, SUSAN J","2,827","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Representative in the General Assembly","92nd Legislative District","Republican","REGAN, MIKE","5,569","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Representative in the General Assembly","92nd Legislative District","Democratic","COMREY, CHARLES R","2,376","0","0","","","","","","","","",""
"2012 General Election","CUMBERLAND","Representative in the General Assembly","199th Legislative District","Republican","BLOOM, STEPHEN","21,567","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","Senator in the General Assembly","15th Senatorial District","Republican","MCNALLY, JOHN","51,160","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","Senator in the General Assembly","15th Senatorial District","Democratic","TEPLITZ, ROB","57,689","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","Senator in the General Assembly","27th Senatorial District","Republican","GORDNER, JOHN R","5,468","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","Representative in the General Assembly","98th Legislative District","Republican","HICKERNELL, DAVID S","2,682","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","Representative in the General Assembly","103rd Legislative District","Democratic","KIM, PATTY H","19,595","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","Representative in the General Assembly","104th Legislative District","Republican","HELM, SUSAN C SUE","16,047","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","Representative in the General Assembly","104th Legislative District","Democratic","DIETZ, CHRISTOPHER C","13,393","0","0","","","","","","","","",""
