,home,away,hometeam,awayteam
487,34,28,21,19
488,37,30,8,25
489,29,38,24,15
490,27,39,26,30
491,29,36,14,4
492,31,21,20,23
493,26,30,7,14
494,31,29,3,17
495,25,30,10,15
496,32,28,8,24
497,26,29,6,2
498,28,30,9,13
499,34,28,16,18
500,32,33,5,11
501,29,26,19,12
502,42,26,27,29
503,29,29,25,4
504,32,32,22,14
505,28,33,30,23
506,23,24,3,11
507,34,28,12,1
508,37,30,28,13
509,28,26,15,24
510,33,36,21,27
511,31,29,7,20
512,33,28,10,4
513,30,28,26,8
514,18,30,9,22
515,39,26,30,24
516,34,32,1,2
517,33,24,16,14
518,33,32,5,17
519,28,32,19,18
520,21,22,10,29
521,33,37,26,8
522,36,31,4,21
523,29,38,12,6
524,33,28,3,13
525,29,35,28,15
526,34,23,27,20
527,29,26,7,11
528,37,27,22,30
529,37,42,1,14
530,29,21,28,24
531,41,24,5,9
532,29,32,17,18
533,28,28,19,23
534,28,25,8,16
535,25,30,10,25
536,38,38,26,29
537,32,27,12,13
538,27,35,4,2
539,32,26,5,6
540,15,20,11,20
541,39,36,27,7
542,42,24,15,19
543,26,33,18,9
544,23,35,21,23
545,18,32,29,16
546,36,24,15,26
547,21,43,17,30
548,28,31,8,3
549,23,24,20,24
550,31,35,4,14
551,32,37,6,5
552,35,27,12,28
553,26,31,23,19
554,47,34,2,27
555,29,21,11,7
556,32,31,18,8
557,35,42,10,1
558,34,28,25,9
559,17,27,13,16
560,37,34,17,30
561,38,28,21,3
562,25,37,29,26
563,27,38,4,15
564,19,22,6,24
565,29,21,22,21
566,34,32,23,12
567,35,30,20,27
568,29,22,28,17
569,35,30,5,2
570,30,24,18,25
571,27,27,19,11
572,30,29,10,9
573,32,35,14,16
574,31,35,26,1
575,28,36,22,15
576,27,25,7,3
577,23,27,11,29
578,31,29,8,13
579,31,29,12,25
580,22,28,23,5
581,25,23,28,20
582,17,33,17,4
583,33,31,21,30
584,36,33,27,9
585,23,22,19,2
586,33,35,18,13
587,26,30,8,6
588,28,21,24,16
589,35,35,14,1
