,home,away,hometeam,awayteam
594,14,9,26,14
595,8,11,9,23
596,12,9,28,25
597,13,11,12,4
598,13,12,16,2
599,15,10,15,29
600,11,10,11,18
601,12,14,21,7
602,14,11,24,6
603,10,8,13,1
604,14,10,30,19
605,11,12,3,5
606,11,19,20,17
607,11,11,15,27
608,15,8,8,14
609,23,14,26,22
610,10,9,16,21
611,11,14,23,9
612,20,15,28,4
613,10,10,29,6
614,18,14,10,24
615,6,9,25,22
616,12,12,13,7
617,17,16,9,18
618,7,9,30,5
619,11,18,1,17
620,15,11,3,19
621,15,12,20,12
622,14,11,15,27
623,15,9,8,24
624,19,16,26,11
625,11,14,23,21
626,13,12,2,3
627,9,22,16,17
628,10,13,28,4
629,10,14,14,7
630,11,7,25,6
631,7,11,9,19
632,7,16,12,1
633,13,8,30,20
634,8,18,27,10
635,12,11,5,21
636,10,14,18,24
637,11,14,29,22
638,10,14,13,8
639,20,12,26,11
640,11,19,16,17
641,8,19,4,3
642,11,12,12,15
643,7,11,28,1
644,9,8,18,6
645,12,17,29,23
646,17,22,25,7
647,18,12,9,20
648,14,7,13,11
649,15,21,5,10
650,12,12,2,21
651,10,14,27,26
652,13,7,8,22
653,17,14,25,7
654,6,12,14,23
655,13,20,4,3
656,23,19,17,12
657,9,10,6,19
658,9,13,20,28
659,14,18,30,10
660,13,8,1,16
661,18,13,18,29
662,16,10,15,24
663,12,11,14,11
664,19,13,17,28
665,7,3,27,2
666,11,13,8,25
667,12,13,13,23
668,7,16,20,30
669,16,13,7,1
670,10,9,11,4
671,11,16,15,6
672,13,12,19,16
673,16,12,21,12
674,19,15,29,13
675,8,12,8,18
676,11,9,14,26
677,8,7,9,5
678,13,18,3,10
679,17,14,18,28
680,11,11,24,2
681,9,8,25,23
682,15,10,22,19
683,13,13,1,20
684,14,23,6,10
685,18,4,7,16
686,14,15,27,13
687,14,8,8,12
688,16,18,29,2
689,13,9,14,15
690,12,16,26,21
691,7,16,28,3
692,18,14,30,22
693,11,13,1,4
694,7,14,6,17
695,17,9,18,11
696,12,13,24,12
697,13,12,26,23
698,8,8,16,19
699,15,18,28,20
700,13,12,7,13
701,10,7,8,21
702,13,11,24,15
703,13,14,10,2
704,17,10,25,14
705,13,23,9,17
706,11,18,22,3
707,11,10,5,1
708,11,16,11,18
709,16,2,29,4
710,20,13,25,27
711,22,12,26,15
712,10,5,12,5
713,12,10,16,3
714,17,12,20,6
715,5,11,19,8
716,10,11,7,30
717,22,6,24,4
718,16,19,14,13
719,15,15,22,12
720,18,14,23,2
721,5,12,11,30
722,13,11,17,8
723,12,11,19,18
724,15,11,21,1
725,14,10,10,15
726,17,20,25,29
727,13,12,26,28
728,10,8,14,27
729,16,13,3,20
730,13,11,2,9
731,7,4,4,5
732,5,15,11,6
733,13,13,24,7
734,18,8,13,27
735,13,18,12,17
736,13,8,18,15
737,10,12,16,22
738,10,8,21,6
739,18,12,10,28
740,18,14,23,8
741,22,10,2,20
742,14,8,9,11
743,10,16,22,5
744,7,19,1,13
745,17,9,18,26
746,8,11,19,30
747,10,8,27,24
748,13,12,3,14
749,13,18,29,7
750,7,10,25,28
751,15,10,4,16
752,9,9,15,12
753,20,2,6,13
754,17,13,17,19
755,11,11,23,22
756,16,11,2,14
757,12,9,18,26
758,11,20,21,10
759,7,16,27,30
760,10,14,7,9
761,11,9,24,28
762,19,13,25,1
763,11,14,6,16
764,7,11,20,14
765,12,12,5,13
766,15,11,17,4
767,16,8,8,19
768,13,12,9,30
769,14,6,23,22
770,9,14,15,25
771,26,9,3,2
772,7,12,11,21
773,14,11,18,10
774,8,8,27,26
775,17,10,29,28
776,4,19,24,1
777,16,6,12,14
778,14,10,6,15
779,12,13,20,16
780,11,7,5,4
781,14,5,7,19
782,16,19,8,10
783,9,13,17,13
784,14,9,9,4
785,17,13,12,26
786,12,17,30,25
787,10,12,3,24
788,7,15,11,28
789,16,12,18,22
790,7,13,27,23
791,13,10,29,1
792,14,13,2,30
793,16,11,9,24
794,18,16,20,13
795,12,14,5,25
796,14,8,17,16
797,9,11,19,14
798,21,10,21,11
799,14,14,10,7
800,15,6,8,1
801,12,8,4,22
802,8,15,12,6
803,12,7,20,23
804,10,11,15,28
805,10,6,18,8
806,14,11,19,26
807,9,16,9,3
808,6,12,30,6
809,16,12,2,13
810,6,8,5,27
811,13,21,11,26
812,6,15,29,7
813,26,11,10,21
814,9,16,25,17
815,6,15,22,20
816,9,9,2,24
817,12,12,19,1
818,11,7,15,5
819,13,10,8,18
820,14,17,14,21
821,6,8,6,9
822,15,9,30,4
823,19,10,3,23
824,6,15,16,12
825,10,9,28,27
826,10,10,11,26
827,12,23,29,18
828,12,17,13,7
829,8,21,25,10
830,9,10,22,8
831,10,7,1,24
832,17,5,2,5
833,7,12,14,17
834,7,14,9,27
835,11,10,12,24
836,14,11,23,20
837,25,8,3,4
838,12,6,28,29
839,12,7,16,11
840,10,15,15,18
841,9,10,19,6
842,16,12,25,21
843,9,18,26,7
844,11,17,13,17
845,13,6,2,23
846,8,5,4,8
847,11,12,22,16
848,12,14,30,12
849,10,11,1,27
850,12,9,20,29
851,9,5,6,5
852,12,8,10,14
853,8,20,26,7
854,21,12,3,15
855,11,13,28,9
856,20,11,4,1
857,9,8,6,27
858,11,15,12,29
859,15,6,23,11
860,12,11,16,8
861,15,12,20,2
862,3,8,5,22
863,9,9,21,19
864,13,9,7,18
865,20,12,10,30
866,23,12,25,14
867,8,13,28,22
868,18,17,17,3
869,7,14,24,26
870,17,15,13,10
871,12,17,25,30
872,14,13,4,27
873,18,15,12,5
874,13,10,23,6
875,5,14,1,20
876,21,11,3,9
877,17,8,2,16
878,14,12,15,29
879,9,10,21,11
880,11,14,8,7
881,10,7,14,19
882,10,18,5,17
883,8,14,18,30
884,11,11,24,13
885,6,17,6,8
886,22,18,12,3
887,12,17,22,9
888,13,7,23,15
889,9,13,28,19
890,22,10,7,27
891,13,8,29,21
892,16,14,14,10
893,14,16,26,25
894,19,12,30,20
895,15,13,1,6
896,19,9,17,16
897,11,10,18,4
898,14,15,24,21
899,12,12,5,2
900,26,11,10,11
901,26,18,13,26
902,6,7,9,28
903,10,11,4,16
