,home,away,hometeam,awayteam
668,18,16,20,30
669,18,19,7,1
670,15,17,11,4
671,16,14,15,6
672,11,12,19,16
673,16,16,21,12
674,17,14,29,13
675,24,22,8,18
676,14,21,14,26
677,22,19,9,5
678,22,20,3,10
679,21,20,18,28
680,28,15,24,2
681,22,15,25,23
682,30,18,22,19
683,14,13,1,20
684,16,13,6,10
685,23,20,7,16
686,10,14,27,13
687,18,29,8,12
688,16,13,29,2
689,33,26,14,15
690,24,7,26,21
691,5,14,28,3
692,18,20,30,22
693,17,19,1,4
694,11,10,6,17
695,20,19,18,11
696,24,22,24,12
697,22,19,26,23
698,22,14,16,19
699,28,18,28,20
700,15,30,7,13
701,17,14,8,21
702,21,19,24,15
703,21,20,10,2
704,21,21,25,14
705,31,17,9,17
706,16,8,22,3
707,12,12,5,1
708,20,16,11,18
709,22,24,29,4
710,17,20,25,27
711,13,8,26,15
712,22,19,12,5
713,18,21,16,3
714,14,11,20,6
715,17,10,19,8
716,22,32,7,30
717,12,13,24,4
718,15,12,14,13
719,19,23,22,12
720,35,21,23,2
721,14,18,11,30
722,20,12,17,8
723,16,20,19,18
724,11,26,21,1
725,22,26,10,15
726,15,10,25,29
727,12,5,26,28
728,23,16,14,27
729,19,19,3,20
730,23,23,2,9
731,26,18,4,5
732,12,18,11,6
733,12,20,24,7
734,16,18,13,27
735,20,19,12,17
736,10,16,18,15
737,22,27,16,22
738,22,14,21,6
739,11,13,10,28
740,16,17,23,8
741,8,15,2,20
742,24,21,9,11
743,17,16,22,5
744,16,17,1,13
745,16,27,18,26
746,17,22,19,30
747,12,20,27,24
748,34,15,3,14
749,17,12,29,7
750,18,17,25,28
751,17,17,4,16
752,17,19,15,12
753,14,23,6,13
754,12,15,17,19
755,18,24,23,22
756,15,23,2,14
757,13,15,18,26
758,17,16,21,10
759,15,15,27,30
760,23,19,7,9
761,17,17,24,28
762,24,24,25,1
763,6,18,6,16
764,28,22,20,14
765,15,22,5,13
766,23,20,17,4
767,20,21,8,19
768,18,13,9,30
769,23,22,23,22
770,21,26,15,25
771,7,15,3,2
772,23,18,11,21
773,13,27,18,10
774,5,15,27,26
775,26,18,29,28
776,26,9,24,1
777,5,22,12,14
778,16,21,6,15
779,14,13,20,16
780,21,13,5,4
781,23,17,7,19
782,16,12,8,10
783,19,14,17,13
784,16,23,9,4
785,10,17,12,26
786,20,21,30,25
787,26,12,3,24
788,24,20,11,28
789,24,25,18,22
790,14,32,27,23
791,13,17,29,1
792,25,32,2,30
793,14,21,9,24
794,20,30,20,13
795,21,19,5,25
796,17,17,17,16
797,18,25,19,14
798,20,21,21,11
799,15,21,10,7
800,17,14,8,1
801,11,27,4,22
802,15,15,12,6
803,28,30,20,23
804,17,7,15,28
805,22,24,18,8
806,26,23,19,26
807,16,17,9,3
808,15,14,30,6
809,18,24,2,13
810,22,16,5,27
811,19,15,11,26
812,23,27,29,7
813,3,15,10,21
814,25,17,25,17
815,18,13,22,20
816,27,21,2,24
817,14,19,19,1
818,15,18,15,5
819,17,22,8,18
820,18,18,14,21
821,21,17,6,9
822,15,17,30,4
823,7,15,3,23
824,36,20,16,12
825,16,19,28,27
826,24,28,11,26
827,18,8,29,18
828,16,11,13,7
829,31,9,25,10
830,12,16,22,8
831,20,22,1,24
832,21,16,2,5
833,15,13,14,17
834,39,27,9,27
835,21,21,12,24
836,17,11,23,20
837,14,18,3,4
838,22,22,28,29
839,21,18,16,11
840,20,10,15,18
841,20,12,19,6
842,29,32,25,21
843,27,18,26,7
844,11,12,13,17
845,11,29,2,23
846,17,14,4,8
847,18,21,22,16
848,19,13,30,12
849,15,15,1,27
850,28,21,20,29
851,16,12,6,5
852,11,21,10,14
853,23,14,26,7
854,20,13,3,15
855,24,25,28,9
856,18,21,4,1
857,20,15,6,27
858,14,22,12,29
859,16,28,23,11
860,18,13,16,8
861,19,24,20,2
862,18,16,5,22
863,15,16,21,19
864,22,19,7,18
865,11,18,10,30
866,12,19,25,14
867,15,14,28,22
868,27,16,17,3
869,13,21,24,26
870,19,19,13,10
871,17,19,25,30
872,20,15,4,27
873,21,16,12,5
874,27,20,23,6
875,16,18,1,20
876,8,12,3,9
877,17,21,2,16
878,17,15,15,29
879,40,26,21,11
880,11,17,8,7
881,22,17,14,19
882,16,14,5,17
883,20,14,18,30
884,12,25,24,13
885,17,20,6,8
886,18,22,12,3
887,18,15,22,9
888,29,30,23,15
889,20,19,28,19
890,28,16,7,27
891,23,21,29,21
892,24,17,14,10
893,25,14,26,25
894,12,13,30,20
895,21,26,1,6
896,15,18,17,16
897,10,25,18,4
898,26,18,24,21
899,19,15,5,2
900,16,18,10,11
901,31,28,13,26
902,9,22,9,28
903,22,28,4,16
904,32,10,22,12
905,19,18,20,19
906,7,11,15,8
907,28,8,23,3
908,22,17,29,27
909,15,13,17,24
910,23,27,1,2
911,14,12,5,30
912,10,21,7,14
913,12,12,6,28
914,17,16,21,26
915,16,11,10,18
916,27,17,25,11
917,23,25,8,13
918,18,19,4,9
919,25,16,23,16
920,23,11,20,3
921,19,20,19,22
922,17,17,1,30
923,20,4,2,17
924,13,14,28,5
925,7,11,11,8
926,13,20,15,14
927,20,22,21,26
928,18,31,7,12
929,24,16,29,27
930,13,19,10,25
931,20,13,13,18
932,18,12,4,24
933,23,23,9,5
934,23,13,3,6
935,21,22,16,23
936,14,19,20,2
937,16,16,11,15
938,15,22,17,22
939,18,31,21,14
