,homones,awayones,hometwos,awaytwos,homethrees,awaythrees,hometeam,awayteam
423,11,17,35,23,9,16,11,16
424,18,18,44,22,12,13,15,17
425,30,23,24,35,18,12,29,19
426,15,14,22,35,12,9,13,24
427,13,28,24,26,15,15,4,1
428,25,24,29,31,10,12,9,26
429,28,24,24,33,11,9,3,22
430,28,17,24,31,14,11,6,12
431,25,11,24,22,15,17,23,10
432,25,18,32,37,9,9,28,2
433,7,23,24,20,12,17,5,20
434,17,14,30,31,11,12,21,18
435,22,19,27,26,18,13,7,25
436,18,21,36,30,12,9,14,8
437,16,12,25,27,12,9,13,30
438,25,16,23,31,10,11,27,16
439,13,12,33,21,7,15,6,7
440,20,14,33,27,3,13,11,25
441,9,3,30,23,18,16,17,29
442,20,29,19,22,19,12,21,15
443,25,10,24,31,15,14,24,19
444,18,17,19,21,12,12,3,22
445,15,23,26,31,13,8,12,20
446,29,21,34,29,8,15,9,2
447,17,22,27,25,13,18,28,10
448,13,18,34,30,23,16,18,5
449,22,21,32,29,11,12,8,4
450,16,19,35,34,11,10,14,30
451,21,17,28,26,15,10,6,29
452,25,16,17,26,15,11,23,28
453,18,23,36,33,12,12,1,22
454,20,15,35,29,5,17,11,27
455,20,25,30,12,12,19,18,7
456,17,25,24,32,18,13,19,17
457,32,17,29,28,11,16,21,25
458,18,14,26,27,20,12,24,14
459,17,17,33,39,12,10,26,4
460,20,12,32,27,9,20,9,29
461,12,20,23,27,15,13,16,5
462,25,12,28,23,17,12,20,10
463,15,26,28,27,13,11,24,30
464,15,14,30,31,10,5,8,15
465,22,15,31,26,10,13,6,17
466,20,25,30,25,11,6,23,9
467,16,17,25,36,14,7,1,5
468,21,7,26,28,13,18,3,12
469,14,19,33,29,21,12,2,10
470,11,20,31,33,11,9,20,28
471,11,23,24,30,17,11,11,22
472,7,23,34,21,8,13,18,7
473,21,6,28,25,8,14,21,25
474,21,25,31,31,17,11,26,14
475,21,22,18,28,23,9,13,4
476,25,22,31,34,13,9,19,27
477,20,13,26,39,16,7,29,30
478,16,13,33,32,17,12,22,27
479,13,18,35,27,12,14,23,13
480,20,22,37,28,12,9,1,9
481,20,11,31,34,13,10,3,18
482,12,17,32,28,14,9,2,17
483,18,15,28,23,11,19,6,28
484,15,14,27,31,16,14,20,5
485,13,10,28,19,13,21,16,12
486,24,24,29,20,8,16,11,7
487,18,33,34,28,13,13,21,19
488,16,20,37,30,10,9,8,25
489,15,28,29,38,9,7,24,15
490,27,17,27,39,10,10,26,30
491,15,14,29,36,19,16,14,4
492,14,23,31,21,12,18,20,23
493,18,28,26,30,18,9,7,14
494,20,21,31,29,19,13,3,17
495,19,22,25,30,18,9,10,15
496,25,18,32,28,13,17,8,24
497,26,13,26,29,13,18,6,2
498,27,25,28,30,16,19,9,13
499,6,9,34,28,13,15,16,18
500,15,16,32,33,13,17,5,11
501,19,14,29,26,12,9,19,12
502,24,31,42,26,6,13,27,29
503,24,19,29,29,14,12,25,4
504,16,14,32,32,10,17,22,14
505,27,27,28,33,11,6,30,23
506,20,12,23,24,20,14,3,11
507,22,22,34,28,13,12,12,1
508,21,19,37,30,6,15,28,13
509,28,22,28,26,8,17,15,24
510,25,12,33,36,13,10,21,27
511,25,15,31,29,13,16,7,20
512,20,19,33,28,8,10,10,4
513,16,18,30,28,10,13,26,8
514,31,26,18,30,18,5,9,22
515,25,11,39,26,8,13,30,24
516,15,14,34,32,8,10,1,2
517,13,11,33,24,11,13,16,14
518,26,22,33,32,9,9,5,17
519,30,24,28,32,11,10,19,18
520,22,18,21,22,16,15,10,29
521,19,16,33,37,14,12,26,8
522,19,18,36,31,10,11,4,21
523,20,14,29,38,19,12,12,6
524,17,9,33,28,11,15,3,13
525,18,10,29,35,10,13,28,15
526,21,24,34,23,11,15,27,20
527,17,26,29,26,18,12,7,11
528,11,20,37,27,5,15,22,30
529,14,16,37,42,11,10,1,14
530,22,20,29,21,11,14,28,24
531,14,19,41,24,12,17,5,9
532,23,26,29,32,14,8,17,18
533,26,18,28,28,15,14,19,23
534,17,27,28,25,17,14,8,16
535,17,16,25,30,17,12,10,25
536,14,25,38,38,12,8,26,29
537,25,28,32,27,14,16,12,13
538,19,14,27,35,11,13,4,2
539,17,12,32,26,7,13,5,6
540,16,23,15,20,14,15,11,20
541,23,12,39,36,8,14,27,7
542,17,29,42,24,5,8,15,19
543,22,20,26,33,10,10,18,9
544,14,12,23,35,12,11,21,23
545,36,23,18,32,17,13,29,16
546,16,15,36,24,10,15,15,26
547,14,11,21,43,13,7,17,30
548,16,22,28,31,17,9,8,3
549,17,5,23,24,13,10,20,24
550,20,21,31,35,11,10,4,14
551,33,30,32,37,16,10,6,5
552,22,18,35,27,10,14,12,28
553,23,16,26,31,15,11,23,19
554,12,11,47,34,11,8,2,27
555,21,30,29,21,9,13,11,7
556,21,16,32,31,13,11,18,8
557,16,24,35,42,19,11,10,1
558,25,32,34,28,14,6,25,9
559,30,20,17,27,12,12,13,16
560,16,21,37,34,11,8,17,30
561,14,25,38,28,20,12,21,3
562,26,16,25,37,13,9,29,26
563,20,28,27,38,11,9,4,15
564,19,14,19,22,11,10,6,24
565,29,28,29,21,13,15,22,21
566,19,23,34,32,14,13,23,12
567,17,21,35,30,10,11,20,27
568,16,21,29,22,9,13,28,17
569,27,16,35,30,8,12,5,2
570,26,31,30,24,9,9,18,25
571,23,18,27,27,14,12,19,11
572,14,16,30,29,15,16,10,9
573,24,15,32,35,8,8,14,16
574,25,20,31,35,10,10,26,1
575,26,15,28,36,11,12,22,15
576,20,26,27,25,7,16,7,3
577,23,20,23,27,15,19,11,29
578,18,18,31,29,14,5,8,13
579,25,14,31,29,7,9,12,25
580,14,10,22,28,18,20,23,5
581,28,18,25,23,10,16,28,20
582,15,12,17,33,20,20,17,4
583,10,27,33,31,17,7,21,30
584,22,10,36,33,9,11,27,9
585,20,19,23,22,12,15,19,2
586,23,18,33,35,13,9,18,13
587,18,18,26,30,17,10,8,6
588,22,26,28,21,6,12,24,16
589,12,17,35,35,16,9,14,1
590,11,12,42,32,7,15,27,3
591,25,14,31,34,13,12,5,29
592,30,22,29,40,13,5,7,19
593,17,14,15,31,18,13,10,22
594,30,27,31,41,14,9,26,14
595,15,20,36,35,8,11,9,23
596,25,28,28,25,12,9,28,25
597,27,24,25,27,13,11,12,4
598,12,12,25,27,13,12,16,2
599,16,18,31,35,15,10,15,29
600,9,18,27,28,11,10,11,18
601,16,33,34,17,12,14,21,7
602,10,11,23,34,14,11,24,6
603,24,16,27,36,10,8,13,1
604,14,24,28,39,14,10,30,19
605,20,9,27,27,11,12,3,5
606,20,14,27,20,11,19,20,17
607,20,14,34,33,11,11,15,27
608,15,19,31,33,15,8,8,14
609,9,15,29,27,23,14,26,22
610,40,14,21,35,10,9,16,21
611,28,30,43,22,11,14,23,9
612,22,11,25,32,20,15,28,4
613,30,20,28,32,10,10,29,6
614,21,29,19,27,18,14,10,24
615,16,20,36,31,6,9,25,22
616,23,29,27,18,12,12,13,7
617,22,16,31,27,17,16,9,18
618,17,6,31,32,7,9,30,5
619,16,6,28,27,11,18,1,17
620,22,13,29,34,15,11,3,19
621,28,15,23,31,15,12,20,12
622,17,18,38,39,14,11,15,27
623,15,10,33,30,15,9,8,24
624,26,11,26,28,19,16,26,11
625,25,31,28,30,11,14,23,21
626,9,15,25,29,13,12,2,3
627,15,10,33,13,9,22,16,17
628,28,19,33,28,10,13,28,4
629,17,9,34,34,10,14,14,7
630,22,24,29,37,11,7,25,6
631,17,21,36,31,7,11,9,19
632,24,15,33,25,7,16,12,1
633,23,22,23,33,13,8,30,20
634,25,16,32,37,8,18,27,10
635,22,19,26,36,12,11,5,21
636,17,20,37,27,10,14,18,24
637,29,10,25,28,11,14,29,22
638,11,19,31,27,10,14,13,8
639,25,16,27,31,20,12,26,11
640,10,8,34,15,11,19,16,17
641,16,9,33,28,8,19,4,3
642,25,22,27,36,11,12,12,15
643,24,17,29,32,7,11,28,1
644,11,20,36,29,9,8,18,6
645,19,21,31,23,12,17,29,23
646,21,11,32,21,17,22,25,7
647,12,25,19,28,18,12,9,20
648,15,17,32,31,14,7,13,11
649,21,15,33,20,15,21,5,10
650,12,20,27,28,12,12,2,21
651,13,20,38,35,10,14,27,26
652,10,27,35,34,13,7,8,22
653,37,27,26,27,17,14,25,7
654,10,15,42,31,6,12,14,23
655,23,24,28,23,13,20,4,3
656,13,14,25,24,23,19,17,12
657,26,17,30,28,9,10,6,19
658,28,34,33,25,9,13,20,28
659,20,19,28,27,14,18,30,10
660,18,19,32,35,13,8,1,16
661,15,23,28,32,18,13,18,29
662,16,18,36,29,16,10,15,24
663,30,23,37,38,12,11,14,11
664,19,17,27,33,19,13,17,28
665,25,21,30,34,7,3,27,2
666,23,24,33,25,11,13,8,25
667,16,29,29,26,12,13,13,23
668,18,16,33,26,7,16,20,30
669,18,19,28,36,16,13,7,1
670,15,17,36,39,10,9,11,4
671,16,14,33,26,11,16,15,6
672,11,12,24,38,13,12,19,16
673,16,16,31,27,16,12,21,12
674,17,14,26,22,19,15,29,13
675,24,22,37,30,8,12,8,18
676,14,21,32,34,11,9,14,26
677,22,19,31,43,8,7,9,5
678,22,20,30,22,13,18,3,10
679,21,20,28,32,17,14,18,28
680,28,15,28,32,11,11,24,2
681,22,15,23,33,9,8,25,23
682,30,18,24,31,15,10,22,19
683,14,13,43,36,13,13,1,20
684,16,13,28,19,14,23,6,10
685,23,20,19,29,18,4,7,16
686,10,14,37,36,14,15,27,13
687,18,29,37,29,14,8,8,12
688,16,13,21,25,16,18,29,2
689,33,26,25,34,13,9,14,15
690,24,7,29,29,12,16,26,21
691,5,14,39,22,7,16,28,3
692,18,20,33,28,18,14,30,22
693,17,19,34,32,11,13,1,4
694,11,10,41,25,7,14,6,17
695,20,19,21,29,17,9,18,11
696,24,22,26,23,12,13,24,12
697,22,19,33,37,13,12,26,23
698,22,14,27,29,8,8,16,19
699,28,18,26,22,15,18,28,20
700,15,30,22,23,13,12,7,13
701,17,14,26,33,10,7,8,21
702,21,19,26,29,13,11,24,15
703,21,20,28,29,13,14,10,2
704,21,21,20,35,17,10,25,14
705,31,17,30,32,13,23,9,17
706,16,8,32,18,11,18,22,3
707,12,12,33,29,11,10,5,1
708,20,16,33,25,11,16,11,18
709,22,24,25,36,16,2,29,4
710,17,20,35,34,20,13,25,27
711,13,8,27,28,22,12,26,15
712,22,19,32,38,10,5,12,5
713,18,21,22,22,12,10,16,3
714,14,11,20,28,17,12,20,6
715,17,10,33,28,5,11,19,8
716,22,32,37,31,10,11,7,30
717,12,13,25,33,22,6,24,4
718,15,12,26,32,16,19,14,13
719,19,23,31,26,15,15,22,12
720,35,21,24,35,18,14,23,2
721,14,18,37,27,5,12,11,30
722,20,12,24,27,13,11,17,8
723,16,20,25,29,12,11,19,18
724,11,26,38,39,15,11,21,1
725,22,26,29,32,14,10,10,15
726,15,10,34,27,17,20,25,29
727,12,5,22,36,13,12,26,28
728,23,16,30,32,10,8,14,27
729,19,19,25,31,16,13,3,20
730,23,23,30,37,13,11,2,9
731,26,18,32,33,7,4,4,5
732,12,18,34,25,5,15,11,6
733,12,20,22,20,13,13,24,7
734,16,18,34,29,18,8,13,27
735,20,19,36,34,13,18,12,17
736,10,16,31,30,13,8,18,15
737,22,27,29,21,10,12,16,22
