,home,away,hometeam,awayteam
734,52,37,13,27
735,49,52,12,17
736,44,38,18,15
737,39,33,16,22
738,40,39,21,6
739,50,46,10,28
740,46,44,23,8
741,46,45,2,20
742,38,44,9,11
743,41,48,22,5
744,45,42,1,13
745,42,37,18,26
746,39,40,19,30
747,48,50,27,24
748,39,47,3,14
749,39,35,29,7
750,40,48,25,28
751,45,45,4,16
752,43,36,15,12
753,44,37,6,13
754,53,41,17,19
755,40,42,23,22
756,45,35,2,14
757,43,47,18,26
758,46,46,21,10
759,42,48,27,30
760,39,36,7,9
761,43,40,24,28
762,43,44,25,1
763,40,34,6,16
764,44,48,20,14
765,38,37,5,13
766,43,42,17,4
767,43,42,8,19
768,43,47,9,30
769,34,33,23,22
770,41,41,15,25
771,53,36,3,2
772,41,38,11,21
773,46,38,18,10
774,48,48,27,26
775,44,50,29,28
776,35,52,24,1
777,45,42,12,14
778,49,41,6,15
779,40,39,20,16
780,41,39,5,4
781,37,42,7,19
782,51,43,8,10
783,39,39,17,13
784,44,40,9,4
785,40,37,12,26
786,42,43,30,25
787,29,41,3,24
788,40,41,11,28
789,40,45,18,22
790,52,46,27,23
791,41,44,29,1
792,43,39,2,30
793,35,42,9,24
794,45,44,20,13
795,48,44,5,25
796,46,45,17,16
797,52,45,19,14
798,56,45,21,11
799,45,39,10,7
800,48,44,8,1
801,45,42,4,22
802,40,46,12,6
803,34,30,20,23
804,38,44,15,28
805,48,34,18,8
806,48,35,19,26
807,37,39,9,3
808,35,44,30,6
809,41,44,2,13
810,50,40,5,27
811,44,52,11,26
812,41,41,29,7
813,56,44,10,21
814,37,47,25,17
815,37,37,22,20
816,38,43,2,24
817,45,38,19,1
818,39,32,15,5
819,58,40,8,18
820,49,49,14,21
821,43,30,6,9
822,44,39,30,4
823,40,37,3,23
824,37,38,16,12
825,43,35,28,27
826,47,46,11,26
827,44,56,29,18
828,38,41,13,7
829,43,46,25,10
830,47,39,22,8
831,43,39,1,24
832,39,42,2,5
833,42,45,14,17
834,46,45,9,27
835,36,43,12,24
836,44,43,23,20
837,44,45,3,4
838,41,47,28,29
839,32,35,16,11
840,49,41,15,18
841,39,48,19,6
842,42,47,25,21
843,39,43,26,7
844,42,45,13,17
845,37,33,2,23
846,40,50,4,8
847,37,37,22,16
848,48,43,30,12
849,50,40,1,27
850,43,45,20,29
851,36,36,6,5
852,40,40,10,14
853,51,47,26,7
854,39,42,3,15
855,42,40,28,9
856,53,53,4,1
857,44,43,6,27
858,46,43,12,29
859,46,35,23,11
860,39,44,16,8
861,45,35,20,2
862,35,38,5,22
863,38,39,21,19
864,43,48,7,18
865,52,48,10,30
866,46,42,25,14
867,50,43,28,22
868,43,46,17,3
869,50,37,24,26
870,49,45,13,10
871,36,45,25,30
872,43,41,4,27
873,39,41,12,5
874,39,41,23,6
875,40,45,1,20
876,49,43,3,9
877,41,38,2,16
878,43,42,15,29
879,42,30,21,11
880,48,39,8,7
881,44,39,14,19
882,37,40,5,17
883,39,43,18,30
884,42,40,24,13
885,43,39,6,8
886,49,51,12,3
887,39,37,22,9
888,34,34,23,15
889,43,39,28,19
890,46,45,7,27
891,42,45,29,21
892,42,40,14,10
893,47,43,26,25
894,39,45,30,20
895,50,40,1,6
896,47,36,17,16
897,46,43,18,4
898,42,41,24,21
899,50,30,5,2
900,37,36,10,11
901,59,65,13,26
902,38,33,9,28
903,38,32,4,16
904,35,48,22,12
905,45,40,20,19
906,45,36,15,8
907,35,43,23,3
908,43,38,29,27
909,38,40,17,24
910,45,43,1,2
911,40,32,5,30
912,39,42,7,14
913,44,36,6,28
914,41,45,21,26
915,39,38,10,18
916,42,45,25,11
917,49,44,8,13
918,43,42,4,9
919,32,35,23,16
920,37,37,20,3
921,34,36,19,22
922,43,48,1,30
923,36,50,2,17
924,38,37,28,5
925,48,53,11,8
926,51,38,15,14
927,43,43,21,26
928,46,41,7,12
929,30,39,29,27
930,49,37,10,25
931,35,43,13,18
932,32,42,4,24
933,39,41,9,5
934,39,45,3,6
935,34,41,16,23
936,54,42,20,2
937,36,40,11,15
938,49,43,17,22
939,44,38,21,14
940,36,46,25,19
941,43,41,30,28
942,45,45,7,23
943,45,41,27,12
944,39,32,10,13
945,38,46,4,22
946,52,41,1,25
947,41,40,3,2
948,39,47,16,20
949,39,42,5,24
950,52,38,21,29
951,40,31,8,15
952,40,34,10,19
953,46,47,26,13
954,36,42,14,18
955,38,47,30,28
956,45,33,6,9
957,42,37,16,1
958,38,49,27,11
959,44,42,17,23
960,49,48,26,18
961,38,49,7,24
962,45,48,5,12
963,42,36,14,10
964,36,33,2,4
965,42,39,22,25
966,52,43,11,27
967,44,43,21,29
968,43,47,3,20
969,45,50,13,15
970,43,42,6,3
971,53,48,12,23
972,46,39,30,17
973,41,51,16,1
974,43,43,8,28
975,47,43,26,19
976,40,38,9,25
977,50,46,22,17
978,38,42,20,4
979,34,40,18,23
980,36,40,11,2
981,50,47,21,10
982,42,41,7,29
983,41,36,14,15
984,47,45,30,1
985,42,30,3,25
986,35,39,16,6
987,42,38,19,7
988,37,46,8,5
989,49,33,24,21
