,home,away,hometeam,awayteam
438,101,111,27,16
439,100,99,6,7
440,95,107,11,25
441,123,97,17,29
442,115,109,21,15
443,118,114,24,19
444,92,95,3,22
445,106,109,12,20
446,121,124,9,2
447,110,126,28,10
448,150,126,18,5
449,119,115,8,4
450,119,117,14,30
451,122,99,6,29
452,104,101,23,28
453,126,125,1,22
454,105,124,11,27
455,116,106,18,7
456,119,128,19,17
457,123,121,21,25
458,130,104,24,14
459,119,125,26,4
460,111,126,9,29
461,103,113,16,5
462,132,94,20,10
463,110,113,24,30
464,105,91,8,15
465,114,106,6,17
466,113,93,23,9
467,108,110,1,5
468,112,117,3,12
469,143,113,2,10
470,106,113,20,28
471,110,116,11,22
472,99,104,18,7
473,101,98,21,25
474,134,120,26,14
475,126,105,13,4
476,126,117,19,27
477,120,112,29,30
478,133,113,22,27
479,119,114,23,13
480,130,105,1,9
481,121,109,3,18
482,118,100,2,17
483,107,118,6,28
484,117,118,20,5
485,108,111,16,12
486,106,112,11,7
487,125,128,21,19
488,120,107,8,25
489,100,125,24,15
490,111,125,26,30
491,130,134,14,4
492,112,119,20,23
493,124,115,7,14
494,139,118,3,17
495,123,109,10,15
496,128,125,8,24
497,117,125,6,2
498,131,142,9,13
499,113,110,16,18
500,118,133,5,11
501,113,93,19,12
502,126,122,27,29
503,124,113,25,4
504,110,129,22,14
505,116,111,30,23
506,126,102,3,11
507,129,114,12,1
508,113,124,28,13
509,108,125,15,24
510,130,114,21,27
511,126,121,7,20
512,110,105,10,4
513,106,113,26,8
514,121,101,9,22
515,127,102,30,24
516,107,108,1,2
517,112,98,16,14
518,119,113,5,17
519,119,118,19,18
520,112,107,10,29
521,127,126,26,8
522,121,113,4,21
523,135,126,12,6
524,116,110,3,13
525,106,119,28,15
526,122,115,27,20
527,129,114,7,11
528,100,119,22,30
529,121,130,1,14
530,113,104,28,24
531,132,118,5,9
532,123,114,17,18
533,127,116,19,23
534,124,119,8,16
535,118,112,10,25
536,126,125,26,29
537,131,130,12,13
538,106,123,4,2
539,102,103,5,6
540,88,108,11,20
541,125,126,27,7
542,116,101,15,19
543,104,116,18,9
544,96,115,21,23
545,123,126,29,16
546,118,108,15,26
547,95,118,17,30
548,123,111,8,3
549,102,83,20,24
550,115,121,4,14
551,145,134,6,5
552,122,114,12,28
553,120,111,23,19
554,139,103,2,27
555,106,111,11,7
556,124,111,18,8
557,143,141,10,1
558,135,106,25,9
559,100,110,13,16
560,123,113,17,30
561,150,117,21,3
562,115,117,29,26
563,107,131,4,15
564,90,88,6,24
565,126,115,22,21
566,129,126,23,12
567,117,114,20,27
568,101,104,28,17
569,121,112,5,2
570,113,106,18,25
571,119,108,19,11
572,119,122,10,9
573,112,109,14,16
574,117,120,26,1
575,115,123,22,15
576,95,124,7,3
577,114,131,11,29
578,122,91,8,13
579,108,99,12,25
580,112,126,23,5
581,108,112,28,20
582,109,138,17,4
583,127,110,21,30
584,121,109,27,9
585,102,108,19,2
586,128,115,18,13
587,121,108,8,6
588,96,104,24,16
589,130,114,14,1
590,116,121,27,3
591,126,118,5,29
592,127,117,7,19
593,101,115,10,22
594,134,136,26,14
595,111,123,9,23
596,117,105,28,25
597,116,111,12,4
598,101,102,16,2
599,123,118,15,29
600,96,104,11,18
601,120,109,21,7
602,98,112,24,6
603,108,112,13,1
604,112,132,30,19
605,107,99,3,5
606,107,111,20,17
607,121,113,15,27
608,122,109,8,14
609,136,111,26,22
610,112,111,16,21
611,147,116,23,9
612,132,120,28,4
613,116,114,29,6
614,113,125,10,24
615,106,109,25,22
616,113,101,13,7
617,135,118,9,18
618,100,97,30,5
619,105,114,1,17
620,125,114,3,19
621,119,113,20,12
622,135,129,15,27
623,126,97,8,24
624,135,115,26,11
625,114,133,23,21
626,98,109,2,3
627,108,102,16,17
628,124,114,28,4
629,115,119,14,7
630,113,119,25,6
631,110,116,9,19
632,111,113,12,1
633,108,112,30,20
634,113,144,27,10
635,110,124,5,21
636,121,116,18,24
637,112,108,29,22
638,103,115,13,8
639,139,114,26,11
640,111,95,16,17
641,106,122,4,3
642,112,130,12,15
643,103,114,28,1
644,110,102,18,6
645,117,118,29,23
646,136,119,25,7
647,104,117,9,20
648,121,100,13,11
649,132,118,5,10
650,102,112,2,21
651,119,132,27,26
652,119,116,8,22
653,140,123,25,7
654,112,113,14,23
655,118,130,4,3
656,132,119,17,12
657,113,103,6,19
658,121,123,20,28
659,118,127,30,10
660,121,113,1,16
661,125,126,18,29
662,136,106,15,24
663,140,132,14,11
664,130,122,17,28
665,106,98,27,2
666,122,113,8,25
667,110,120,13,23
668,105,116,20,30
669,122,130,7,1
670,117,122,11,4
671,115,114,15,6
672,98,124,19,16
673,126,106,21,12
674,126,103,29,13
675,122,118,8,18
676,111,116,14,26
677,108,126,9,5
678,121,118,3,10
679,128,126,18,28
680,117,112,24,2
681,95,105,25,23
682,123,110,22,19
683,139,124,1,20
684,114,120,6,10
685,115,90,7,16
686,126,131,27,13
687,134,111,8,12
688,106,117,29,2
689,122,121,14,15
690,118,113,26,21
691,104,106,28,3
692,138,118,30,22
693,118,122,1,4
694,114,102,6,17
695,113,104,18,11
696,112,107,24,12
697,127,129,26,23
698,100,96,16,19
699,125,116,28,20
700,98,112,7,13
701,99,101,8,21
702,112,110,24,15
703,116,120,10,2
704,112,121,25,14
705,130,150,9,17
706,113,98,22,3
707,111,100,5,1
708,119,114,11,18
709,120,102,29,4
710,147,127,25,27
711,133,100,26,15
712,116,110,12,5
713,98,95,16,3
714,105,103,20,6
715,98,99,19,8
716,126,127,7,30
717,128,97,24,4
718,115,133,14,13
719,126,120,22,12
720,137,133,23,2
721,103,108,11,30
722,107,99,17,8
723,102,111,19,18
724,132,137,21,1
725,122,120,10,15
726,134,124,25,29
727,95,113,26,28
728,113,104,14,27
729,117,120,3,20
730,122,130,2,9
731,111,96,4,5
732,95,113,11,6
733,95,99,24,7
734,138,100,13,27
735,131,141,12,17
736,111,100,18,15
737,110,105,16,22
738,112,100,21,6
739,129,117,10,28
740,126,119,23,8
741,122,115,2,20
742,114,117,9,11
743,109,128,22,5
744,113,120,1,13
745,117,110,18,26
746,103,113,19,30
747,118,128,27,24
748,125,121,3,14
749,108,100,29,7
750,105,123,25,28
751,122,117,4,16
752,112,100,15,12
753,122,99,6,13
754,135,110,17,19
755,109,119,23,22
756,121,104,2,14
757,111,118,18,26
758,120,128,21,10
759,106,127,27,30
760,111,105,7,9
761,114,106,24,28
762,129,125,25,1
763,97,100,6,16
764,123,129,20,14
765,103,108,5,13
766,124,115,17,4
767,122,113,8,19
768,117,119,9,30
769,105,94,23,22
770,112,122,15,25
771,139,96,3,2
772,112,106,11,21
773,119,114,18,10
774,109,119,27,26
775,131,128,29,28
776,100,132,24,1
777,111,112,12,14
778,128,113,6,15
779,106,104,20,16
780,114,98,5,4
781,111,106,7,19
782,134,117,8,10
783,106,105,17,13
784,118,112,9,4
785,107,104,12,26
786,116,124,30,25
787,94,106,3,24
788,111,117,11,28
789,120,127,18,22
790,125,137,27,23
791,108,115,29,1
792,125,123,2,30
793,100,116,9,24
794,128,134,20,13
795,129,121,5,25
796,123,115,17,16
797,131,126,19,14
798,153,121,21,11
799,119,113,10,7
800,128,108,8,1
801,113,119,4,22
802,103,122,12,6
803,108,97,20,23
804,103,106,15,28
805,128,98,18,8
806,136,104,19,26
807,99,111,9,3
808,91,114,30,6
809,116,124,2,13
810,128,104,5,27
811,120,140,11,26
812,111,124,29,7
813,141,114,10,21
814,108,127,25,17
815,98,102,22,20
816,112,116,2,24
817,116,107,19,1
818,104,89,15,5
819,146,112,8,18
820,130,133,14,21
821,113,85,6,9
822,118,104,30,4
823,106,99,3,23
824,116,111,16,12
825,112,98,28,27
826,128,130,11,26
827,118,143,29,18
828,104,110,13,7
829,125,122,25,10
830,115,104,22,8
831,116,107,1,24
832,116,105,2,5
833,106,115,14,17
834,138,131,9,27
835,104,117,12,24
836,119,108,23,20
837,127,116,3,4
838,116,122,28,29
839,97,95,16,11
840,128,107,15,18
841,107,118,19,6
842,129,138,25,21
843,114,122,26,7
844,106,119,13,17
845,98,101,2,23
846,105,119,4,8
847,103,107,22,16
848,127,113,30,12
849,125,106,1,27
850,126,120,20,29
851,97,89,6,5
852,103,109,10,14
853,133,128,26,7
854,119,109,3,15
855,119,118,28,9
856,144,138,4,1
857,117,109,6,27
858,117,123,12,29
859,123,104,23,11
860,108,112,16,8
861,124,106,20,2
862,91,100,5,22
863,100,103,21,19
864,121,124,7,18
865,135,126,10,30
866,127,115,25,14
867,123,113,28,22
868,131,125,17,3
869,120,109,24,26
870,134,124,13,10
871,101,126,25,30
872,120,110,4,27
873,117,113,12,5
874,118,112,23,6
875,101,122,1,20
876,127,109,3,9
877,116,105,2,16
878,117,111,15,29
879,133,96,21,11
880,118,109,8,7
881,120,102,14,19
882,100,112,5,17
883,106,114,18,30
884,107,116,24,13
885,109,115,6,8
886,138,142,12,3
887,108,106,22,9
888,110,105,23,15
889,115,110,28,19
890,142,116,7,27
891,120,119,29,21
892,124,111,14,10
893,133,116,26,25
894,109,115,30,20
895,136,119,1,6
896,128,99,17,16
897,113,121,18,4
898,124,115,24,21
899,131,87,5,2
900,116,101,10,11
901,175,176,13,26
902,91,95,9,28
903,108,103,4,16
904,108,121,22,12
905,128,106,20,19
906,112,94,15,8
907,107,110,23,3
908,118,102,29,27
909,104,101,17,24
910,129,127,1,2
911,102,82,5,30
912,108,111,7,14
913,118,93,6,28
914,115,124,21,26
915,109,104,10,18
916,131,114,25,11
917,134,124,8,13
918,117,106,4,9
919,99,101,23,16
920,109,94,20,3
921,93,101,19,22
922,116,119,1,30
923,104,118,2,17
924,104,98,28,5
925,112,133,11,8
926,121,109,15,14
927,117,123,21,26
928,122,124,7,12
929,94,102,29,27
930,123,105,10,25
931,101,108,13,18
932,91,105,4,24
933,115,117,9,5
934,117,113,3,6
935,96,119,16,23
936,142,118,20,2
937,99,113,11,15
938,139,117,17,22
939,117,123,21,14
940,110,121,25,19
941,119,108,30,28
942,133,126,7,23
943,110,99,27,12
944,115,91,10,13
945,106,117,4,22
946,129,111,1,25
947,105,115,3,2
948,120,122,16,20
949,104,125,5,24
950,130,103,21,29
951,113,97,8,15
952,108,99,10,19
953,128,127,26,13
954,102,110,14,18
955,109,116,30,28
956,114,90,6,9
957,117,109,16,1
958,110,122,27,11
959,130,133,17,23
960,134,138,26,18
961,126,130,7,24
962,122,125,5,12
963,113,105,14,10
964,102,86,2,4
965,119,122,22,25
966,142,110,11,27
967,129,119,21,29
968,129,131,3,20
969,135,129,13,15
970,118,114,6,3
971,143,147,12,23
972,111,117,30,17
973,130,128,16,1
974,118,113,8,28
975,123,108,26,19
976,104,110,9,25
977,123,134,22,17
978,105,112,20,4
979,94,117,18,23
980,96,118,11,2
981,137,128,21,10
982,120,116,7,29
983,112,103,14,15
984,120,122,30,1
985,115,93,3,25
986,100,104,16,6
987,113,106,19,7
988,96,117,8,5
989,132,101,24,21
990,108,100,13,28
991,103,113,9,4
992,134,125,12,11
993,124,131,22,29
994,118,113,17,2
995,131,110,15,10
996,122,117,26,20
997,120,119,23,25
998,107,114,30,1
999,119,115,16,6
1000,123,124,18,2
1001,128,120,27,8
1002,122,112,14,28
1003,106,95,13,20
1004,111,119,4,29
1005,115,121,9,12
1006,126,114,22,16
1007,125,134,1,3
1008,111,119,11,5
1009,112,108,15,7
1010,96,110,19,21
1011,125,116,10,17
1012,119,128,24,26
1013,120,122,8,2
1014,108,114,4,6
1015,112,93,23,30
1016,127,110,19,25
1017,90,102,27,21
1018,108,112,14,20
1019,117,97,9,12
1020,115,136,1,18
1021,119,115,16,29
1022,88,104,7,15
1023,111,109,11,3
1024,123,112,10,24
1025,124,133,26,17
1026,104,120,4,6
1027,117,97,30,9
1028,125,110,28,8
1029,108,123,19,14
1030,121,107,21,2
1031,132,114,27,22
1032,104,116,24,17
1033,107,123,25,20
1034,109,118,6,23
1035,138,119,16,15
1036,114,117,5,26
1037,114,110,11,14
1038,102,104,18,3
1039,128,137,27,7
1040,134,126,13,10
1041,100,119,9,8
1042,96,101,2,26
1043,128,111,28,21
1044,123,139,17,12
1045,116,113,24,22
1046,82,121,4,23
1047,127,119,1,10
1048,117,94,6,30
1049,139,131,5,18
1050,114,112,11,19
1051,120,126,27,15
1052,112,126,25,3
1053,110,111,14,7
1054,116,110,20,8
1055,108,113,13,22
1056,121,141,12,23
1057,122,107,28,18
1058,118,132,30,26
1059,113,99,5,16
1060,133,119,15,10
1061,118,117,29,3
1062,102,108,2,8
1063,124,120,21,24
1064,126,118,27,1
1065,100,112,9,16
1066,107,117,11,19
1067,118,111,17,28
1068,102,117,25,13
1069,111,105,14,22
1070,115,109,4,12
1071,105,109,23,5
1072,134,140,20,18
1073,108,121,11,10
1074,112,108,15,7
1075,128,120,29,26
1076,122,112,22,30
1077,129,107,1,9
1078,109,115,2,6
1079,119,84,19,27
1080,109,132,26,3
1081,100,101,13,21
1082,104,118,30,8
1083,127,120,16,20
1084,114,118,28,12
1085,125,127,7,10
1086,91,116,5,23
1087,130,125,15,11
1088,130,94,17,27
1089,125,124,18,1
1090,115,127,29,25
1091,122,111,14,24
1092,111,106,22,20
1093,114,116,2,6
1094,115,96,19,4
1095,127,105,13,21
1096,120,95,3,12
1097,136,124,30,27
1098,118,97,28,9
1099,151,114,15,11
