K,D,maskSeed,chainSeed,cov80,cov90,cov95,cov99
25.0,3.0,103.0,102.0,0.8273423005565863,0.9114100185528757,0.9465445269016698,0.9799397031539888
25.0,3.0,103.0,103.0,0.8267625231910947,0.9097866419294991,0.9461966604823747,0.9797077922077922
25.0,3.0,103.0,104.0,0.8264146567717996,0.911178107606679,0.9467764378478665,0.9794758812615956
25.0,3.0,104.0,101.0,0.8264775413711584,0.9087470449172577,0.943853427895981,0.9749408983451536
25.0,3.0,104.0,102.0,0.8264775413711584,0.9088652482269504,0.9437352245862884,0.9750591016548463
25.0,3.0,104.0,103.0,0.8271867612293144,0.908628841607565,0.943498817966903,0.9742316784869977
25.0,3.0,104.0,104.0,0.8270685579196217,0.9074468085106383,0.943498817966903,0.9754137115839243
25.0,3.0,105.0,101.0,0.8383992489144466,0.9130383757774909,0.9495364393850487,0.9815749325196573
25.0,3.0,105.0,102.0,0.8387513202675743,0.9132730900129092,0.950357939209013,0.980753432695693
25.0,3.0,105.0,103.0,0.8388686773852834,0.9130383757774909,0.9493017251496303,0.9812228611665298
25.0,3.0,105.0,104.0,0.8396901772092478,0.9133904471306185,0.9485975824433752,0.9809881469311114
25.0,4.0,101.0,101.0,0.8008187134502924,0.8886549707602339,0.9326315789473684,0.972046783625731
25.0,4.0,101.0,102.0,0.8011695906432749,0.8888888888888888,0.9326315789473684,0.9719298245614035
25.0,4.0,101.0,103.0,0.8001169590643274,0.8899415204678363,0.9321637426900585,0.972280701754386
25.0,4.0,101.0,104.0,0.8025730994152047,0.8893567251461988,0.9328654970760234,0.9721637426900585
25.0,4.0,102.0,101.0,0.8002606326264661,0.88709868498993,0.9305769458594954,0.9703826560834025
25.0,4.0,102.0,102.0,0.8018007345101291,0.8873356237412628,0.9309323539864945,0.9700272479564033
25.0,4.0,102.0,103.0,0.8007345101291317,0.8859139912332662,0.9295107214784978,0.9706195948347353
25.0,4.0,102.0,104.0,0.8003791020021325,0.886743276862931,0.9295107214784978,0.9700272479564033
25.0,4.0,103.0,101.0,0.8012523191094619,0.8930890538033395,0.9335575139146568,0.9735621521335807
25.0,4.0,103.0,102.0,0.801948051948052,0.8912337662337663,0.9323979591836735,0.9726345083487941
25.0,4.0,103.0,103.0,0.8025278293135436,0.8933209647495362,0.9332096474953617,0.9724025974025974
25.0,4.0,103.0,104.0,0.8038033395176253,0.8923933209647495,0.9327458256029685,0.9727504638218923
25.0,4.0,104.0,101.0,0.8015366430260047,0.8882978723404256,0.9299054373522458,0.9687943262411347
25.0,4.0,104.0,102.0,0.8021276595744681,0.8904255319148936,0.9304964539007092,0.9686761229314421
25.0,4.0,104.0,103.0,0.8039007092198581,0.8898345153664302,0.9300236406619385,0.968321513002364
25.0,4.0,104.0,104.0,0.8031914893617021,0.8899527186761229,0.9304964539007092,0.9686761229314421
25.0,4.0,105.0,101.0,0.8158666823142824,0.8948480225325666,0.9369792277901655,0.9731252200445957
25.0,4.0,105.0,102.0,0.8166881821382467,0.8954348081211125,0.9366271564370379,0.9727731486914681
25.0,4.0,105.0,103.0,0.8143410397840629,0.8959042365919493,0.9359230137307828,0.9727731486914681
25.0,4.0,105.0,104.0,0.8148104682548997,0.8961389508273677,0.936040370848492,0.9730078629268866
25.0,5.0,101.0,101.0,0.7810526315789473,0.8738011695906432,0.9221052631578948,0.9691228070175438
25.0,5.0,101.0,102.0,0.7808187134502924,0.8733333333333333,0.9212865497076024,0.968421052631579
25.0,5.0,101.0,103.0,0.7801169590643274,0.8734502923976608,0.9211695906432749,0.9692397660818713
25.0,5.0,101.0,104.0,0.7791812865497076,0.8730994152046784,0.9209356725146198,0.968421052631579
25.0,5.0,102.0,101.0,0.7805947162658453,0.8676697073806421,0.9175453145361924,0.963866840421751
25.0,5.0,102.0,102.0,0.7832010425305058,0.8682620542589741,0.9187300082928563,0.9639853097974174
25.0,5.0,102.0,103.0,0.7822532875251748,0.8693282786399715,0.9171899064091932,0.9636299016704182
25.0,5.0,102.0,104.0,0.7821348181495084,0.8676697073806421,0.9168344982821941,0.9637483710460846
25.0,5.0,103.0,101.0,0.7853664192949907,0.8761595547309833,0.9218460111317254,0.9669526901669759
25.0,5.0,103.0,102.0,0.7859461966604824,0.8766233766233766,0.9202226345083488,0.9670686456400742
25.0,5.0,103.0,103.0,0.7844387755102041,0.8755797773654916,0.9203385899814471,0.9669526901669759
25.0,5.0,103.0,104.0,0.7836270871985158,0.877435064935065,0.9217300556586271,0.9677643784786641
25.0,5.0,104.0,101.0,0.783096926713948,0.8713947990543736,0.9195035460992907,0.9656028368794326
25.0,5.0,104.0,102.0,0.7848699763593381,0.8728132387706856,0.9205673758865248,0.9647754137115839
25.0,5.0,104.0,103.0,0.7829787234042553,0.8722222222222222,0.9195035460992907,0.9652482269503546
25.0,5.0,104.0,104.0,0.7817966903073286,0.8723404255319149,0.9199763593380614,0.9647754137115839
25.0,5.0,105.0,101.0,0.7960333294214295,0.8815866682314283,0.9255955873723741,0.9698392207487384
25.0,5.0,105.0,102.0,0.7946250440089191,0.8812345968783006,0.9255955873723741,0.9697218636310292
25.0,5.0,105.0,103.0,0.7949771153620467,0.882056096702265,0.9258303016077926,0.9697218636310292
25.0,5.0,105.0,104.0,0.79450768689121,0.8819387395845558,0.9260650158432109,0.9697218636310292
