originnum,destnum,indices,dist,Dmean,originlon,originlat,destlon,destlat
4,41,[1319 2240 4029 4967 6702 7914 9062 10027 10812 12091 12861 14421 15447 17026 18261 19213 19976 21174 22707 24869 26507 27737 28614 29270 30679 31500 32230 32965],1297,3.0,-97.662015,30.197535,-77.455803,38.9445
4,47,[678 914 1085 1720 2098 2302 2932 3387 3589 4034 4394 4762 5032 5628 6084 6284 6498 7054 7585 7945 8282 8763 9250 9735 10194 10409 10663 11256 11580 11851 12301 12411 12845 13197 13864 13899 14266 14833 15112 15602 15858 16553 16834 17040 17502 18082 18258 18771 19399 19594 19802 20479 20864 21183 21444 22086 22215 22557 23196 23395 24294 24696 25274 25789 26092 26315 26673 27197 27499 28102 28622 28835 29242 29576 29991 31015 31575 31740 36077 36418 36813 37130 37510 37875 38246 38740 39249 39773 40315 40902 41533 41859 42272 42479],1090,3.04,-97.662015,30.197535,-115.151817,36.083361
4,52,[567 1259 2464 3315 3937 5067 5938 6798 7787 9215 9961 10732 12042 12908 13784 14534 15564 16491 17177 18266 19179 20029 21138 21841 22738 24960 25667 26492 27718 28477 29432 30674 31374 32157 33072 33590 36050 36755 37046 37513 38028 38304 38623 38858 39077 39311 39602 39858 40087 40361 40621 40884 41178 41610 42067 42274 42543],994,1.0,-97.662015,30.197535,-81.30899810791016,28.429399490356445
4,60,[1257 2462 3935 5065 6796 7785 9213 9959 10730 12040 12906 14532 15562 17175 18264 19177 20027 21136 22736 24958 26490 27716 28475 29430 30672 31372 32155 33070],444,3.52,-97.662015,30.197535,-90.258003,29.993401
4,64,[1317 2238 4027 4965 6700 7916 9064 10025 10810 12089 12859 14419 15445 17024 18259 19211 19974 21172 22705 24867 26505 27735 28612 29268 30481 31498 32228 32963 33595],1196,3.0,-97.662015,30.197535,-117.600998,34.056
4,79,[181 1713 2947 4234 5551 7067 7376 8377 8794 9608 11079 12449 13409 14678 15072 16098 17507 17861 18779 20493 20774 21438 23101 23515 23898 25281 26693 27320 28197 29005 29667 30066 31086 31878 32651],1164,2.74,-97.662015,30.197535,-117.190002441,32.7336006165
4,84,[186 1711 2071 2663 4435 4632 5388 7104 7374 8375 8792 9606 11219 11488 12447 13261 14813 15083 15861 17454 17898 18680 20389 20877 21585 23125 23485 25263 26930 27102 28141 29003 29681 30064 31084 31876 32524 32821],1504,3.12,-97.662015,30.197535,-122.374821,37.619806
4,87,[188 955 1630 2073 2665 4437 4634 5390 6154 7106 8372 8614 9621 10488 11221 11490 12517 13263 14055 14815 15085 15863 16772 17456 17900 18682 19630 20391 20879 21587 22384 23127 23487 25265 25995 26932 27104 28143 28806 29683 30029 30847 32450 32823 33365],1086,2.92,-97.662015,30.197535,-111.979866,40.78886
5,13,[36655 37487 38379 39314 40289 41574],176,3.06,-72.688066,41.93851,-73.153297,44.471901
5,25,[42347;;],1671,2.88,-72.688066,41.93851,-104.672996521,39.861698150635
