K,Q,D,mask,chain,burnin,lppd
10.0,5.0,3.0,102.0,101.0,10000.0,-4.4110385883130245
1.0,1.0,3.0,102.0,101.0,10000.0,-4.604051082465112
1.0,3.0,3.0,102.0,101.0,10000.0,-4.570522688008083
1.0,5.0,3.0,102.0,101.0,10000.0,-4.448178431378964
25.0,1.0,3.0,102.0,101.0,10000.0,-4.8241157026641375
25.0,3.0,3.0,102.0,101.0,10000.0,-4.64403763030559
25.0,5.0,3.0,102.0,101.0,10000.0,-4.67777678801026
5.0,1.0,3.0,102.0,101.0,10000.0,-4.5168635327226605
5.0,3.0,3.0,102.0,101.0,10000.0,-4.421874672599022
5.0,5.0,3.0,102.0,101.0,10000.0,-4.435904306421229
10.0,1.0,1.0,102.0,102.0,10000.0,-4.4244023818767095
10.0,3.0,1.0,102.0,102.0,10000.0,-4.3305500567896695
10.0,5.0,1.0,102.0,102.0,10000.0,-4.225191105577373
1.0,1.0,1.0,102.0,102.0,10000.0,-4.62440590335826
1.0,3.0,1.0,102.0,102.0,10000.0,-4.3954729702985995
1.0,5.0,1.0,102.0,102.0,10000.0,-4.280072263408737
25.0,1.0,1.0,102.0,102.0,10000.0,-4.396509539183872
25.0,3.0,1.0,102.0,102.0,10000.0,-4.290422693940275
25.0,5.0,1.0,102.0,102.0,10000.0,-4.226461694553415
5.0,1.0,1.0,102.0,102.0,10000.0,-4.425208431082116
5.0,3.0,1.0,102.0,102.0,10000.0,-4.322374446889705
5.0,5.0,1.0,102.0,102.0,10000.0,-4.249282505982872
10.0,1.0,2.0,102.0,102.0,10000.0,-4.461021926693527
10.0,3.0,2.0,102.0,102.0,10000.0,-4.398226437993749
10.0,5.0,2.0,102.0,102.0,10000.0,-4.328520170461311
1.0,1.0,2.0,102.0,102.0,10000.0,-4.577526051933385
1.0,3.0,2.0,102.0,102.0,10000.0,-4.429222222401626
1.0,5.0,2.0,102.0,102.0,10000.0,-4.31957007376044
25.0,1.0,2.0,102.0,102.0,10000.0,-4.515273011439054
25.0,3.0,2.0,102.0,102.0,10000.0,-4.406165029591688
25.0,5.0,2.0,102.0,102.0,10000.0,-4.3433627605823855
5.0,1.0,2.0,102.0,102.0,10000.0,-4.431108720274438
5.0,3.0,2.0,102.0,102.0,10000.0,-4.338203132320425
5.0,5.0,2.0,102.0,102.0,10000.0,-4.322395113085031
10.0,1.0,3.0,102.0,102.0,10000.0,-4.589636316117373
10.0,3.0,3.0,102.0,102.0,10000.0,-4.4137834540367376
1.0,1.0,3.0,102.0,102.0,10000.0,-4.608592886323981
1.0,3.0,3.0,102.0,102.0,10000.0,-4.552800212361364
1.0,5.0,3.0,102.0,102.0,10000.0,-4.435272580221768
25.0,1.0,3.0,102.0,102.0,10000.0,-4.73129059411468
25.0,3.0,3.0,102.0,102.0,10000.0,-4.692106307292223
25.0,5.0,3.0,102.0,102.0,10000.0,-4.822825634978832
5.0,1.0,3.0,102.0,102.0,10000.0,-4.50864320813127
5.0,3.0,3.0,102.0,102.0,10000.0,-4.4294384652535
5.0,5.0,3.0,102.0,102.0,10000.0,-4.423058383159713
