K,Q,D,j,mask,lppd1,lppd2,lppd3
1.0,5.0,1.0,1.0,104.0,-0.5664949224719816,-3.4537749500898545,-10.90564020921498
25.0,1.0,1.0,1.0,104.0,-0.5574238889142663,-3.700648148889854,-9.934018314914518
25.0,3.0,1.0,1.0,104.0,-0.591628535762329,-3.462283344099592,-10.3552213777688
25.0,5.0,1.0,1.0,104.0,-0.5528589144343812,-3.3585947410864603,-9.857979271365629
5.0,1.0,1.0,1.0,104.0,-0.5150126575888888,-3.7921157669826657,-9.696620242193701
5.0,3.0,1.0,1.0,104.0,-0.5201550878046265,-3.541577343721074,-10.265551304559368
5.0,5.0,1.0,1.0,104.0,-0.5098921539436087,-3.4720454120383963,-9.993616423541633
10.0,1.0,3.0,2.0,104.0,-0.6439035835549696,-3.6092941811650134,-10.152947922477985
10.0,3.0,3.0,2.0,104.0,-0.6075606555442185,-3.480884172499091,-11.132902759961262
10.0,5.0,3.0,2.0,104.0,-0.591003614152317,-3.3838114776933272,-12.110363385962554
1.0,1.0,3.0,2.0,104.0,-0.9093302990498572,-3.6692777613078422,-11.13952527601981
1.0,3.0,3.0,2.0,104.0,-0.6934225301252285,-3.6052372212476285,-11.79515856097727
1.0,5.0,3.0,2.0,104.0,-0.6746185654402251,-3.4905112023518177,-11.297445455716344
25.0,1.0,3.0,2.0,104.0,-0.6848445658264338,-3.5593754597136953,-10.4345229343128
25.0,3.0,3.0,2.0,104.0,-0.620372355978315,-3.353785109370197,-10.487826781591703
25.0,5.0,3.0,2.0,104.0,-0.6162748074004434,-3.3447704874299693,-12.713282877225904
5.0,1.0,3.0,2.0,104.0,-0.675209506805991,-3.63790000442729,-10.599452352826377
5.0,3.0,3.0,2.0,104.0,-0.6002021758369397,-3.5198889604242387,-10.956452744144826
5.0,5.0,3.0,2.0,104.0,-0.5701935892871605,-3.4615391343470656,-10.405638129040698
