K,Q,D,j,mask,lppd1,lppd2,lppd3
1.0,3.0,1.0,1.0,102.0,-0.5138066449597907,-3.931842114137529,-9.838251515306453
1.0,5.0,1.0,1.0,102.0,-0.4744074155757775,-3.81316559055736,-9.749232111172242
25.0,1.0,1.0,1.0,102.0,-0.46293628790333774,-4.05307892214426,-10.212584085138563
25.0,3.0,1.0,1.0,102.0,-0.4770742608569903,-3.7699656103213535,-10.97389195275181
25.0,5.0,1.0,1.0,102.0,-0.4916628416646853,-3.688855539160938,-10.225963557337897
5.0,1.0,1.0,1.0,102.0,-0.40951520844188777,-4.1735791990336955,-9.825623688418581
5.0,3.0,1.0,1.0,102.0,-0.43643393267728836,-3.8517434470051697,-9.698832158788965
5.0,5.0,1.0,1.0,102.0,-0.40664651302181126,-3.805073432744744,-9.638761131837828
10.0,1.0,3.0,2.0,102.0,-0.5340190239988803,-3.9639048247893878,-10.402784148986271
10.0,3.0,3.0,2.0,102.0,-0.5044131305644854,-3.7904492965731684,-12.151890964755244
10.0,5.0,3.0,2.0,102.0,-0.4826700252304177,-3.7521911676426734,-10.241068426388312
1.0,1.0,3.0,2.0,102.0,-0.807876234782537,-4.062378027161356,-11.214470287015736
1.0,3.0,3.0,2.0,102.0,-0.574544852739759,-3.872451604104989,-10.808984639319894
1.0,5.0,3.0,2.0,102.0,-0.5282946380147121,-3.8514364564590036,-10.93686505517737
25.0,1.0,3.0,2.0,102.0,-0.6015696850956141,-3.8930604638103397,-11.652872919157911
25.0,3.0,3.0,2.0,102.0,-0.5576244701285031,-3.712178804123341,-10.19440134980847
25.0,5.0,3.0,2.0,102.0,-0.5602709695732683,-3.650092564040052,-10.572617031724876
5.0,1.0,3.0,2.0,102.0,-0.5391772281385412,-3.960618616384235,-10.39301524812965
5.0,3.0,3.0,2.0,102.0,-0.4920839303799778,-3.802635500474291,-11.336157667457659
5.0,5.0,3.0,2.0,102.0,-0.4555549421445693,-3.7847629910913687,-10.673843373600489
10.0,1.0,1.0,1.0,103.0,-0.42914925889548766,-4.136503898055504,-10.620079070395125
10.0,3.0,1.0,1.0,103.0,-0.4212132793500267,-3.826491617571884,-10.330598808503003
10.0,5.0,1.0,1.0,103.0,-0.4409450773673086,-3.7638473246357473,-10.386997645286478
1.0,1.0,1.0,1.0,103.0,-0.5529898368231186,-4.207968035089976,-11.058955443684226
1.0,3.0,1.0,1.0,103.0,-0.546587590481268,-3.9485220062490956,-10.597688893765136
1.0,5.0,1.0,1.0,103.0,-0.4768245404853882,-3.8118931793747417,-10.699213132221491
25.0,1.0,1.0,1.0,103.0,-0.4660956133307211,-4.084817521646915,-10.463703926172936
25.0,3.0,1.0,1.0,103.0,-0.471389191121653,-3.769349768198571,-10.103370052398862
25.0,5.0,1.0,1.0,103.0,-0.45907620758048345,-3.7437045700970026,-10.151434146767025
5.0,1.0,1.0,1.0,103.0,-0.449173443295724,-4.154438338880067,-10.709917553051024
5.0,3.0,1.0,1.0,103.0,-0.42952370021387254,-3.864302710667274,-10.234971457514359
5.0,5.0,1.0,1.0,103.0,-0.4261795748022272,-3.7845910205418556,-10.448459097438414
10.0,1.0,3.0,2.0,103.0,-0.5469470771988759,-3.968286845608693,-11.482569269329003
10.0,3.0,3.0,2.0,103.0,-0.5175869376465954,-3.832513543323563,-11.176141220258055
10.0,5.0,3.0,2.0,103.0,-0.5007764017079404,-3.7787079307761737,-11.578709612414537
1.0,1.0,3.0,2.0,103.0,-0.7415136604311875,-4.067872515573826,-11.969828120968458
1.0,3.0,3.0,2.0,103.0,-0.6071795219677315,-3.9672252575985154,-11.29291618284214
1.0,5.0,3.0,2.0,103.0,-0.5474258366691584,-3.9079532805382478,-12.260126996066449
25.0,1.0,3.0,2.0,103.0,-0.6022059622409329,-3.941878383105347,-11.855740578990844
25.0,3.0,3.0,2.0,103.0,-0.5504351378506778,-3.7334163432887086,-11.259840039207452
25.0,5.0,3.0,2.0,103.0,-0.5275837299153598,-3.726823796201882,-10.611423947143335
5.0,1.0,3.0,2.0,103.0,-0.5808698553376488,-3.997113060254589,-11.35286473583627
5.0,3.0,3.0,2.0,103.0,-0.5202189886346671,-3.9018153133956615,-11.469865233249049
5.0,5.0,3.0,2.0,103.0,-0.4827148827709997,-3.822578290805985,-10.751714441495503
10.0,1.0,1.0,1.0,104.0,-0.5082146542382427,-4.280704114969213,-10.767767383530236
10.0,3.0,1.0,1.0,104.0,-0.5314542634296533,-4.123487535568024,-11.147529163731807
