K,Q,D,j,mask,lppd1,lpp2
5.0,1.0,3.0,2.0,103.0,-1.8317323775098822,-10.423502540568634
5.0,3.0,3.0,2.0,103.0,-1.7386309369407733,-10.533677484827045
5.0,5.0,3.0,2.0,103.0,-1.6883292004700483,-9.91917377825454
10.0,1.0,1.0,1.0,104.0,-1.9237560801511162,-9.6219451464243
10.0,3.0,1.0,1.0,104.0,-1.8295564899581742,-9.946457123412957
10.0,5.0,1.0,1.0,104.0,-1.771996609303544,-9.487612299794232
1.0,1.0,1.0,1.0,104.0,-2.033584010070462,-10.018998823449909
1.0,3.0,1.0,1.0,104.0,-1.9219483233203913,-14.41776323316749
1.0,5.0,1.0,1.0,104.0,-1.820566045578735,-10.90564020921498
25.0,1.0,1.0,1.0,104.0,-1.9226627089036625,-9.934018314914518
25.0,3.0,1.0,1.0,104.0,-1.8384786040300305,-10.3552213777688
25.0,5.0,1.0,1.0,104.0,-1.77151184924286,-9.857979271365629
5.0,1.0,1.0,1.0,104.0,-1.938400876820528,-9.696620242193701
5.0,3.0,1.0,1.0,104.0,-1.8324900070410635,-10.265551304559368
5.0,5.0,1.0,1.0,104.0,-1.7964839731160933,-9.993616423541633
10.0,1.0,3.0,2.0,104.0,-1.9319015198906457,-10.152947922477985
10.0,3.0,3.0,2.0,104.0,-1.8555698598781523,-11.132902759961262
10.0,5.0,3.0,2.0,104.0,-1.8040413730640688,-12.110363385962554
1.0,1.0,3.0,2.0,104.0,-2.108095358414436,-11.13952527601981
1.0,3.0,3.0,2.0,104.0,-1.9581501232389986,-11.79515856097727
1.0,5.0,3.0,2.0,104.0,-1.897683044098796,-11.297445455716344
25.0,1.0,3.0,2.0,104.0,-1.9333781864037294,-10.4345229343128
25.0,3.0,3.0,2.0,104.0,-1.8076122387646887,-10.487826781591703
25.0,5.0,3.0,2.0,104.0,-1.8013789916556924,-12.713282877225904
5.0,1.0,3.0,2.0,104.0,-1.9620346724394857,-10.599452352826377
5.0,3.0,3.0,2.0,104.0,-1.8683489610617259,-10.956452744144826
5.0,5.0,3.0,2.0,104.0,-1.8260305432020694,-10.405638129040698
