"","Anthus trivialis","Fringilla coelebs","Phylloscopus trochilus","Muscicapa striata","Ficedula hypoleuca","Carduelis spinus","Parus major","Sylvia borin","Aythya fuligula","Sterna paradisaea","Turdus philomelos","Sylvia atricapilla","Turdus iliacus","Lophophanes cristatus","Corvus corone cornix","Columba oenas","Carduelis chloris","Acrocephalus schoenobaenus","Columba palumbus","Emberiza schoeniclus","Hippolais icterina","Cyanistes caeruleus","Erithacus rubecula","Sylvia communis","Mergus merganser","Larus ridibundus","Turdus pilaris","Hirundo rustica","Emberiza citrinella","Grus grus","Motacilla alba","Larus canus","Alauda arvensis","Carpodacus erythrinus","Phoenicurus phoenicurus","Pica pica","Turdus merula","Apus apus","Luscinia luscinia","Oenanthe oenanthe","Larus argentatus","Sylvia curruca","Loxia pytyopsittacus","Cuculus canorus","Carduelis flammea","Troglodytes troglodytes","Bucephala clangula","Cygnus olor","Dryocopus martius","Regulus regulus","Phylloscopus sibilatrix","Poecile montanus","Carduelis cannabina","Sturnus vulgaris","Acrocephalus palustris","Jynx torquilla","Delichon urbicum","Vanellus vanellus","Columba livia","Dendrocopos major","Haematopus ostralegus","Corvus corax","Podiceps cristatus","Lanius collurio","Loxia curvirostra","Gavia stellata","Certhia familiaris","Anas platyrhynchos","Sterna hirundo","Tringa totanus","Scolopax rusticola","Passer domesticus","Anas crecca","Cygnus cygnus","Tetrao tetrix","Phylloscopus trochiloides","Prunella modularis","Phylloscopus collybita","Actitis hypoleucos","Lepus timidus","Picus canus","Odocoileus virginianus","Turdus viscivorus","Falco subbuteo","Ardea cinerea","Gavia arctica","Numenius arquata","Tetrastes bonasia","Garrulus glandarius","Tringa ochropus","Acrocephalus dumetorum","Saxicola rubetra","Periparus ater","Pyrrhula pyrrhula","Passer montanus","Corvus monedula","Hydrocoloeus minutus","Botaurus stellaris","Phasianus colchicus","Gallinago gallinago","Tetrao urogallus","Accipiter nisus","Tringa glareola","Aegithalos caudatus","Picoides tridactylus","Ficedula parva","Pandion haliaetus","Emberiza rustica","Tringa nebularia","Crex crex","Falco tinnunculus","Accipiter gentilis","Larus fuscus","Carduelis carduelis","Lepus europaeus","Alces alces","Capreolus capreolus","Buteo buteo","Fringilla montifringilla","Poecile cinctus","Numenius phaeopus","Anthus pratensis","Anas penelope","Bombycilla garrulus","Loxia leucoptera","Asio flammeus","Pluvialis apricaria","Anser fabalis","Motacilla flava","Perisoreus infaustus","Lagopus lagopus","Tringa erythropus","Lymnocryptes minimus","Emberiza pusilla","Calidris falcinellus","Luscinia svecica","Calcarius lapponicus"
"JX.1501372",7,44,24,7,7,6,6,9,0,0,7,5,13,0,4,0,0,0,7,0,0,0,4,4,0,4,1,2,0,0,0,2,0,0,0,2,16,0,0,0,0,1,0,5,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,2,0,0,0,0,0,0,0,2,0,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024976",20,54,78,12,0,7,13,4,0,0,9,0,5,2,0,0,0,1,11,1,0,0,24,2,0,0,1,1,0,2,1,1,0,1,4,0,6,0,0,0,0,1,0,8,0,1,0,0,1,4,5,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,3,0,0,0,0,0,0,0,1,0,4,0,3,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024977",13,59,69,10,1,10,11,7,0,0,9,0,0,4,1,0,0,2,2,1,0,0,18,0,0,0,0,0,2,1,0,0,1,0,1,0,3,0,0,0,0,3,0,4,0,0,0,0,0,11,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,1,8,5,0,0,0,0,1,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024978",12,57,63,1,2,19,11,0,0,0,13,0,4,1,3,0,0,2,5,0,0,1,32,0,0,0,1,0,0,0,0,1,0,0,1,1,5,0,0,0,0,6,2,5,0,1,0,0,3,11,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,0,5,1,0,0,1,0,2,0,0,0,0,1,2,2,0,0,2,3,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1006908",14,45,47,11,5,9,15,2,0,0,11,1,2,3,0,0,0,1,3,1,0,0,20,0,0,0,2,0,1,1,0,0,0,0,1,0,8,0,0,0,0,0,0,5,0,0,0,0,1,7,5,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,1,0,5,0,4,0,0,2,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1133943",23,49,33,0,2,13,3,2,0,0,5,2,2,1,0,0,0,0,2,0,0,1,25,0,0,0,13,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024983",14,46,57,6,21,1,28,10,0,0,9,3,7,0,7,0,0,0,3,0,0,12,17,5,0,0,8,1,2,0,1,4,0,0,18,5,2,1,0,0,0,3,0,7,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024984",16,41,51,9,17,8,26,18,0,0,4,2,0,2,7,0,2,0,2,0,2,7,11,3,0,2,7,0,5,0,1,9,0,1,10,6,4,7,1,0,0,3,1,4,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,9,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024985",14,26,66,3,14,3,38,8,0,0,7,1,6,3,7,0,0,0,2,0,1,13,18,6,0,0,8,0,7,0,0,3,0,1,14,3,7,0,0,0,0,2,0,5,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024986",12,50,56,9,12,5,20,12,0,0,6,2,9,0,6,0,1,0,1,0,1,10,16,6,0,5,20,0,3,0,0,4,0,0,9,4,8,0,3,0,1,1,0,6,0,0,1,0,2,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024987",14,46,59,6,15,11,29,10,0,0,11,1,10,1,11,0,2,0,2,0,0,6,15,4,0,4,11,0,6,0,2,10,0,2,10,7,4,10,1,0,0,1,1,6,0,1,2,0,1,2,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1006737",15,38,49,5,11,9,29,10,0,0,6,1,9,3,7,0,1,0,1,0,0,9,15,6,0,3,18,1,2,1,3,4,0,0,11,2,6,4,2,0,0,0,1,3,0,0,1,0,2,0,9,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1133902",4,36,44,1,15,8,10,13,0,0,1,1,6,0,11,0,2,0,8,0,0,9,14,1,0,0,16,1,1,0,1,4,0,1,11,8,5,0,0,0,0,2,0,2,0,1,0,0,0,1,5,1,0,1,0,0,0,0,4,7,0,0,0,0,41,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024992",29,67,46,11,1,7,19,14,0,0,13,4,10,2,1,0,1,0,10,0,0,2,15,4,0,1,4,1,7,1,2,2,0,4,3,0,6,0,0,0,0,1,0,6,0,2,0,0,1,1,6,4,0,0,0,0,0,0,0,4,0,0,0,0,2,1,4,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,2,0,0,0,1,2,1,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JX.1024993",18,57,47,13,4,5,25,14,0,0,8,3,1,1,2,0,0,0,3,0,0,9,13,3,0,1,2,1,4,1,1,5,0,1,1,0,6,0,0,0,0,2,1,4,0,3,0,0,0,6,8,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,1,2,7,0,0,1,3,0,5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
