K,P,maskSeed,lppd,lppd1,lppd2,lppd3,lppd4
1.0,25.0,105.0,0.06537044887227195,0.04003780264701229,0.056793618950779834,0.19495478262965849,0.3331701165992511
5.0,1.0,101.0,-0.0014551075015951653,-0.0014988329000333867,0.001574437961645886,NaN,NaN
5.0,5.0,101.0,0.004629116672514089,0.0032247124617950096,0.009188236580186526,0.08497217449138539,0.20848501108059336
5.0,10.0,101.0,0.008575666229067025,0.006435624471878176,0.011037597390702869,0.07145337736039936,0.34153494908532833
5.0,25.0,101.0,0.00901610292980215,0.006081130714842731,0.01115818198566454,0.05743781392604563,0.4500883900622368
5.0,1.0,102.0,-0.001966533604586429,-0.0019966915706186583,-0.00021820161042385156,NaN,NaN
5.0,5.0,102.0,0.0024831439471255656,0.0021380651996854017,-0.008863740659917685,0.07458446669853891,0.2183863486043669
5.0,10.0,102.0,0.005093963555221848,0.004375624622314334,-0.005733415254026486,0.04520568253158519,0.40890751438743145
5.0,25.0,102.0,0.005571511729827838,0.003665836386640642,0.006976842606473577,0.03633661932038201,0.404809369816423
5.0,1.0,103.0,-0.014582362247969716,-0.014792006633952859,-0.0005138013071166458,-8.98034165342787e-5,NaN
5.0,5.0,103.0,-0.009770692558187521,-0.008407244943691383,-0.04350042723990577,0.02666038034690743,0.13656861755622973
5.0,10.0,103.0,-0.006865703864079142,-0.004063785629216943,-0.016758304496168552,-0.12879824934075046,0.26671381252955717
5.0,25.0,103.0,-0.026329270775924618,-0.02716447098331165,-0.03244762894192754,0.018645978107194594,0.1699990341369242
5.0,1.0,104.0,-0.0020859696901858182,-0.002155983571430875,0.0006909830839160469,-0.0009733092190779002,NaN
5.0,5.0,104.0,-0.0367488720608149,-0.039111793065629064,0.009940340715030471,-0.02148279974894729,-0.06343850500384285
5.0,10.0,104.0,-0.033863454814254235,-0.035036258616350846,-0.03732182656827154,0.006942924829064889,0.25555641310884303
5.0,25.0,104.0,-0.017240604694401584,-0.022589110500182974,-0.020619790383346714,0.14777895389688744,0.4216660008935831
5.0,1.0,105.0,-0.013315538099973878,-0.013525454215385535,-0.004563836595560006,-0.0013971116346979187,NaN
5.0,5.0,105.0,-0.006885822186610158,-0.010629132225293159,0.03920468621507278,0.10617340768383432,0.046212884217253336
5.0,10.0,105.0,0.02023342704285902,0.014969435634552553,0.06025592896104648,0.09000351377301241,0.07813321653291849
5.0,25.0,105.0,-0.003971284599752378,-0.011336397163570933,0.024438643238649638,0.07873011313488565,0.16897751354422574
10.0,1.0,101.0,-0.01242277013567139,-0.012422983848393798,-0.011021028387305933,NaN,NaN
10.0,5.0,101.0,-0.00918053985094125,-0.009696806061935126,-0.00824419644757235,0.17188615091027515,0.9667067509713148
10.0,10.0,101.0,-0.006621395416513742,-0.006368857128516536,-0.014204383328097592,0.008447886295690932,0.08450062217160337
10.0,25.0,101.0,-0.007707058675538336,-0.008626957146745218,-0.003099451110700313,0.030418359117349247,-0.09848417346167526
10.0,1.0,102.0,-0.002508842039245174,-0.0025402887926679885,0.0030747037352840956,NaN,NaN
10.0,5.0,102.0,-0.007292216384720662,-0.005596365588190766,-0.02889056466476969,-0.2900171304104906,0.5486464825714421
10.0,10.0,102.0,-0.035356568111216014,-0.031582861375815785,-0.06890138807206769,-0.15613869440793104,-0.241515974935548
10.0,25.0,102.0,0.007738690218979105,0.007119159032539013,0.01125169809157378,0.01799001875505768,0.3656674847219801
10.0,1.0,103.0,0.0033741651886083357,0.0033840457654574774,0.0011103641859572522,NaN,NaN
10.0,5.0,103.0,0.0008658814382862534,0.0017702645834867248,-0.01881228674529334,-0.08149381485250329,0.009360798365528833
10.0,10.0,103.0,-0.00955320847348462,-0.008921275643118842,-0.01920666942572047,-0.028119635698417245,0.21950569584829305
10.0,25.0,103.0,0.0018945948287993897,0.0013849181122554954,0.005911130955148058,-0.01981901249321316,0.42470069604543736
10.0,1.0,104.0,0.011723979993695233,0.011822416441974237,-0.001515722299785388,NaN,NaN
10.0,5.0,104.0,-0.00039736423433067714,-0.001021003765089068,-0.0010242432203027008,0.12222824401537435,0.322414030947475
10.0,10.0,104.0,-0.018319586894534057,-0.020119125985762265,-0.00044657966163708096,0.026644003597352306,0.41683888425018
